samplesPerClass	meanAcc	stdAcc	minAcc	maxAcc
1		47.21	4.23	42.64	56.35
2		59.97	7.59	48.73	74.62
3		68.42	3.06	62.94	74.11
4		74.76	3.75	69.80	81.73
5		81.15	3.85	74.87	86.29
6		80.06	1.79	76.40	81.98
7		83.32	2.17	79.95	86.80
8		84.08	1.99	81.98	88.07
9		85.21	2.05	82.49	88.32
10		85.86	2.97	81.73	91.12
11		86.95	2.48	82.49	90.10
12		87.06	2.38	83.50	90.10
13		89.56	1.37	87.56	91.88
14		88.72	1.63	86.55	91.62
15		88.72	1.33	86.55	90.36
16		87.35	1.49	85.03	89.34
17		90.61	0.79	88.83	91.37
18		90.54	1.07	88.83	92.64
19		89.96	2.51	86.55	93.91
20		90.46	1.49	88.83	93.15
25		92.20	1.70	89.34	94.42
30		93.15	1.25	91.62	94.92
35		93.04	1.03	91.62	94.16
40		94.23	1.43	91.88	96.95
45		94.74	1.15	93.40	96.95
50		94.71	0.61	93.65	95.69
60		95.65	0.55	94.42	96.19
70		95.61	0.60	94.42	96.45
80		95.76	0.76	94.42	96.70
90		95.87	0.46	94.92	96.45
100		96.08	0.59	94.92	96.95
110		96.45	0.79	95.43	97.72
120		96.34	0.73	95.69	97.97
130		96.74	0.42	95.94	97.21
140		96.88	0.26	96.45	97.21
150		96.81	0.45	95.94	97.46
