threshold		recall		stdRecall		accuracy		stdAccuracy		numberOfProposals		stdNumberOfProposals
0.05		0.97		0.13		0.74		0.40		323		164
0.1		0.96		0.13		0.72		0.40		252		138
0.15		0.96		0.13		0.70		0.41		215		123
0.2		0.96		0.14		0.68		0.42		190		112
0.25		0.95		0.14		0.66		0.42		171		103
0.3		0.95		0.15		0.65		0.43		155		96
0.35		0.94		0.17		0.63		0.44		140		89
0.4		0.93		0.18		0.61		0.45		127		83
0.45		0.91		0.20		0.60		0.45		114		77
0.5		0.90		0.23		0.58		0.45		97		68
0.55		0.87		0.25		0.54		0.45		72		51
0.6		0.83		0.29		0.49		0.45		46		33
0.65		0.75		0.36		0.37		0.45		25		21
0.7		0.61		0.43		0.27		0.41		10		10
0.75		0.49		0.45		0.19		0.37		4		5
0.8		0.40		0.44		0.16		0.35		2		2
0.85		0.31		0.42		0.14		0.33		1		1
0.9		0.16		0.35		0.11		0.30		0		0
0.95		0.08		0.25		0.06		0.24		0		0
