threshold		recall		stdRecall		accuracy		stdAccuracy		numberOfProposals		stdNumberOfProposals
0.05		0.96		0.13		0.64		0.43		252		104
0.1		0.96		0.13		0.63		0.43		188		88
0.15		0.96		0.14		0.63		0.44		155		78
0.2		0.95		0.15		0.62		0.44		133		71
0.25		0.95		0.15		0.61		0.44		115		65
0.3		0.94		0.16		0.60		0.44		100		59
0.35		0.93		0.18		0.59		0.44		86		54
0.4		0.92		0.19		0.57		0.44		74		49
0.45		0.90		0.21		0.55		0.44		62		43
0.5		0.88		0.24		0.50		0.45		49		35
0.55		0.85		0.28		0.43		0.45		33		24
0.6		0.79		0.32		0.32		0.42		17		12
0.65		0.68		0.39		0.20		0.36		6		5
0.7		0.45		0.45		0.11		0.30		2		2
0.75		0.25		0.42		0.08		0.26		0		1
0.8		0.15		0.36		0.04		0.20		0		0
0.85		0.12		0.33		0.03		0.17		0		0
0.9		0.05		0.22		0.01		0.09		0		0
0.95		0.01		0.12		0.00		0.04		0		0
