normFrame	iou
0.0000	0.5486
0.0200	0.4673
0.0400	0.5064
0.0600	0.4308
0.0800	0.5064
0.1000	0.4900
0.1200	0.7263
0.1400	0.5214
0.1600	0.4813
0.1800	0.6011
0.2000	0.5246
0.2200	0.4813
0.2400	0.4036
0.2600	0.5246
0.2800	0.7173
0.3000	0.7173
0.3200	0.6011
0.3400	0.4747
0.3600	0.5990
0.3800	0.7111
0.4000	0.4571
0.4200	0.5486
0.4400	0.8067
0.4600	0.3813
0.4800	0.7736
0.5000	0.7736
0.5200	0.9143
0.5400	0.4571
0.5600	0.5246
0.5800	0.7418
0.6000	0.5246
0.6200	0.3384
0.6400	0.6672
0.6600	0.6122
0.6800	0.4710
0.7000	0.5882
0.7200	0.6672
0.7400	0.5609
0.7600	0.5861
0.7800	0.5328
0.8000	0.6256
0.8200	0.6531
0.8400	0.5486
0.8600	0.5167
0.8800	0.6122
0.9000	0.5129
0.9200	0.5129
0.9400	0.5930
0.9600	0.5861
0.9800	0.4901
