samplesPerClass	meanAcc	stdAcc	minAcc	maxAcc
1		23.90	8.94	10.15	55.58
2		25.17	9.77	10.41	54.57
3		28.11	12.79	10.15	60.66
4		29.87	13.24	11.17	67.51
5		24.95	11.96	10.15	63.20
6		27.01	15.59	10.15	71.57
7		27.59	14.55	10.41	64.21
8		22.93	11.83	10.41	51.27
9		25.15	15.15	10.15	66.24
10		27.35	11.39	10.91	59.90
11		25.86	13.54	10.41	66.24
12		60.41	17.59	10.66	83.50
13		75.19	10.49	28.68	87.82
14		80.53	7.26	51.27	90.86
15		81.16	10.01	31.73	91.12
16		81.21	11.47	12.44	91.37
17		83.63	9.59	13.71	91.12
18		82.65	9.01	38.32	90.61
19		85.73	3.56	75.38	90.86
20		86.11	4.31	68.27	92.64
25		85.14	8.72	33.50	94.67
30		89.79	9.64	36.29	95.69
35		90.72	8.64	35.53	95.94
40		92.35	1.92	85.28	95.94
45		92.29	3.59	66.50	95.69
50		93.40	1.62	84.52	96.19
60		94.79	1.59	87.31	97.21
70		79.59	21.51	10.41	96.19
80		95.90	0.79	93.40	97.46
90		96.31	0.89	94.16	97.97
100		96.53	0.75	94.42	97.97
110		96.43	1.03	90.61	97.97
120		96.89	0.64	95.18	98.48
130		97.05	0.73	95.18	98.73
140		83.36	15.40	25.89	96.70
150		97.46	0.61	95.69	98.48
