transferSPC	meanAcc1	stdAcc1	minA1cc1	maxAcc1	meanAcc10	stdAcc10	minA1cc10	maxAcc10	meanAcc20	stdAcc20	minA1cc20	maxAcc20	meanAcc30	stdAcc30	minA1cc30	maxAcc30	meanAcc40	stdAcc40	minA1cc40	maxAcc40	meanAcc50	stdAcc50	minA1cc50	maxAcc50	meanAcc60	stdAcc60	minA1cc60	maxAcc60	meanAcc70	stdAcc70	minA1cc70	maxAcc70	meanAcc80	stdAcc80	minA1cc80	maxAcc80	meanAcc90	stdAcc90	minA1cc90	maxAcc90	meanAcc100	stdAcc100	minA1cc100	maxAcc100	meanAcc110	stdAcc110	minA1cc110	maxAcc110	meanAcc120	stdAcc120	minA1cc120	maxAcc120	meanAcc130	stdAcc130	minA1cc130	maxAcc130	meanAcc140	stdAcc140	minA1cc140	maxAcc140	meanAcc150	stdAcc150	minA1cc150	maxAcc150
1	41.40	8.55	21.57	56.85	64.11	5.23	49.75	73.86	70.75	4.75	59.90	79.19	73.74	4.40	64.21	82.74	75.24	4.07	68.02	83.50	76.87	4.16	68.27	85.03	78.52	3.55	71.83	84.26	79.17	3.66	72.08	84.77	79.96	3.32	73.35	86.29	80.58	3.61	72.84	86.80	81.32	3.25	74.87	88.07	81.76	3.42	75.63	87.56	82.32	3.16	76.90	88.83	82.78	3.24	76.14	88.83	83.03	3.53	75.13	89.09	83.78	2.90	78.17	89.09
10	56.50	8.96	40.10	72.34	76.38	3.42	69.29	83.50	80.53	3.32	70.81	86.04	81.98	2.74	73.60	87.31	83.03	2.87	75.13	89.09	83.93	2.58	77.66	89.09	84.54	2.91	77.16	91.37	85.19	2.85	77.66	91.37	85.43	2.87	79.44	92.64	85.85	3.03	78.93	92.64	86.26	2.90	78.93	92.13	86.55	2.73	81.22	91.88	86.88	2.82	80.71	93.91	87.02	2.96	79.19	92.89	87.19	2.81	80.46	93.15	87.43	2.63	80.46	92.89
20	64.30	7.75	42.89	78.68	84.25	3.19	76.90	89.34	87.30	2.59	82.74	92.64	88.80	2.42	82.49	92.39	89.51	2.44	83.76	93.91	90.22	2.46	84.77	94.67	90.82	2.52	85.03	94.92	91.19	2.43	85.79	95.94	91.55	2.33	86.04	95.69	91.70	2.62	85.53	95.94	91.86	2.36	87.06	95.94	92.01	2.34	87.06	95.94	92.39	2.42	86.55	96.70	92.21	2.11	86.80	95.43	92.45	2.18	86.55	96.45	92.46	2.28	86.04	96.19
30	66.22	7.33	47.72	83.25	86.44	2.69	74.87	90.86	89.24	2.30	81.22	94.16	91.01	2.06	82.74	95.94	91.93	1.74	87.82	96.19	92.50	1.91	87.82	95.94	93.02	1.68	88.58	96.19	93.31	1.68	88.58	96.45	93.85	1.70	88.83	96.70	94.08	1.66	89.09	96.70	94.42	1.68	89.34	96.95	94.61	1.66	90.10	97.46	94.30	1.70	90.10	97.72	94.38	1.51	90.10	96.95	94.56	1.53	90.10	97.46	94.49	1.61	90.86	96.95
40	67.83	8.14	48.73	84.26	86.69	2.09	81.47	92.39	89.44	1.59	85.79	93.91	90.46	1.83	86.04	96.19	91.31	1.84	87.06	94.92	92.12	1.73	88.58	95.94	92.64	1.71	89.34	96.70	92.90	1.44	90.10	96.19	93.26	1.56	90.36	96.95	93.16	1.69	88.83	96.19	93.37	1.65	89.85	97.21	93.64	1.60	89.85	96.70	93.83	1.64	90.36	96.70	93.70	1.50	90.10	96.45	93.71	1.53	90.36	96.70	93.99	1.68	90.10	97.46
50	69.91	8.18	43.91	85.03	87.44	2.20	82.99	91.88	89.92	1.96	84.52	93.65	91.46	2.10	87.06	95.43	92.04	2.10	87.56	95.43	92.41	1.77	87.82	95.18	92.99	1.85	88.83	96.70	93.47	1.93	89.09	96.45	93.48	1.98	89.09	97.46	93.92	1.80	90.36	97.72	94.10	1.94	89.85	97.46	94.23	1.66	90.36	97.21	94.52	1.80	90.10	97.21	94.35	1.89	89.85	96.95	94.37	1.65	90.61	97.46	94.68	1.66	90.61	97.72
60	73.72	5.91	55.84	82.74	89.12	3.06	72.59	93.40	91.65	1.77	83.25	94.16	92.75	1.54	86.55	95.43	93.54	1.47	89.34	96.45	93.92	1.28	90.36	95.94	94.09	1.44	88.32	96.70	94.51	1.30	91.12	97.21	94.72	1.32	91.37	97.21	95.01	1.25	91.88	97.21	95.00	1.19	92.13	96.95	95.09	1.15	92.64	97.97	95.01	1.21	90.86	97.46	94.93	1.13	91.62	97.46	94.98	1.09	92.64	96.95	95.24	1.23	91.62	98.22
70	71.89	6.65	56.60	85.03	88.96	2.05	83.76	92.13	91.10	1.66	85.79	94.16	92.04	1.59	87.56	95.18	92.47	1.51	89.09	94.67	92.96	1.54	88.83	94.92	93.30	1.63	87.82	96.19	93.38	1.52	88.07	96.19	93.64	1.32	90.10	95.69	93.90	1.67	88.32	96.45	93.84	1.54	89.85	97.21	94.07	1.48	90.10	96.95	94.12	1.47	88.58	96.95	94.18	1.37	90.61	96.95	94.23	1.53	89.85	97.21	94.31	1.52	89.34	96.95
80	75.86	6.91	56.85	87.06	90.00	2.01	84.77	93.65	91.99	1.53	87.56	94.67	92.71	1.44	89.34	95.43	93.11	1.32	89.85	95.69	93.49	1.32	89.85	96.19	93.80	1.33	90.86	96.19	94.04	1.35	90.10	96.19	94.28	1.22	90.86	96.45	94.29	1.20	91.62	96.45	94.36	1.21	91.62	96.70	94.41	1.32	90.36	96.70	94.56	1.23	91.88	96.95	94.35	1.26	91.88	97.21	94.55	1.21	91.12	96.70	94.47	1.21	91.62	96.95
90	73.88	8.40	49.49	84.77	90.56	2.08	85.79	94.92	92.73	1.52	89.09	95.69	93.60	1.63	89.09	96.70	94.07	1.43	89.59	95.94	94.35	1.32	91.37	96.95	94.37	1.41	90.10	97.72	94.76	1.25	91.12	97.21	95.06	1.22	91.37	97.21	95.18	1.34	91.12	97.97	95.33	1.41	91.12	97.46	95.26	1.31	91.62	97.97	95.13	1.19	92.13	96.95	95.02	1.31	91.12	97.46	95.30	1.19	91.88	97.72	95.33	1.11	92.89	97.97
100	75.24	6.95	45.69	84.52	90.42	1.85	84.01	93.15	92.12	1.35	89.85	95.43	92.91	1.36	89.85	95.69	93.43	1.15	90.36	95.69	93.73	1.17	90.61	96.19	93.87	1.06	91.62	95.94	94.13	1.19	91.62	96.45	94.13	1.01	92.39	96.45	94.23	1.17	91.37	96.45	94.32	1.04	91.37	96.45	94.48	1.15	91.62	96.95	94.60	1.12	92.13	97.21	94.44	1.02	92.13	96.45	94.53	1.06	92.39	96.45	94.61	1.03	91.37	96.45
110	76.44	5.63	61.17	84.77	89.47	2.04	82.49	92.89	91.86	1.70	87.56	94.92	92.47	1.78	87.56	95.69	93.05	1.62	89.85	96.19	93.58	1.42	90.36	96.19	93.78	1.47	91.12	96.70	94.03	1.46	91.12	97.21	94.07	1.43	91.12	96.70	94.17	1.52	90.61	96.70	94.25	1.43	90.10	97.21	94.45	1.50	91.37	96.95	94.46	1.25	90.61	96.95	94.51	1.32	90.36	96.70	94.53	1.38	90.61	97.46	94.51	1.35	90.86	97.21
120	75.48	6.80	53.30	85.79	90.33	1.83	86.29	94.42	92.40	1.62	89.09	95.94	93.17	1.63	90.10	97.72	93.62	1.36	90.36	96.45	94.01	1.38	90.36	96.95	94.12	1.44	90.61	97.72	94.80	1.29	91.62	97.21	94.69	1.18	91.88	97.72	94.88	1.41	91.88	97.72	94.94	1.45	91.12	97.97	95.23	1.27	92.39	97.97	95.22	1.26	92.89	98.73	95.08	1.32	92.39	97.72	95.03	1.29	91.62	97.72	95.01	1.24	92.39	97.72
130	76.75	4.50	64.21	84.77	89.36	1.99	85.03	93.15	91.46	1.74	87.82	94.92	92.33	1.48	87.82	94.92	92.82	1.45	89.34	95.69	93.31	1.38	90.36	95.94	93.49	1.18	90.61	95.43	93.54	1.31	90.36	95.69	93.61	1.25	90.36	95.69	93.69	1.21	91.12	95.69	93.70	1.21	90.86	96.45	93.90	1.30	90.10	96.45	93.95	1.20	90.86	96.45	93.93	1.14	90.86	96.19	93.89	1.20	90.86	96.19	93.95	1.21	90.36	96.19
140	71.50	6.42	54.31	83.50	87.90	5.64	57.61	92.89	90.72	4.68	61.17	94.92	92.02	2.74	75.89	95.18	92.70	2.73	75.89	95.43	93.34	2.81	76.40	96.19	93.63	2.62	77.41	95.69	93.70	3.47	71.57	96.95	93.98	2.37	79.95	96.19	94.12	2.70	77.66	96.45	94.20	3.06	74.62	96.70	94.13	3.57	70.81	97.21	94.30	3.38	72.34	97.46	94.07	3.81	69.04	97.21	93.92	4.23	66.50	97.97	94.01	4.30	65.99	97.46
150	66.22	6.13	50.51	75.38	84.06	7.71	56.85	91.37	89.14	5.38	69.54	93.91	91.52	3.65	77.41	95.69	92.13	3.18	80.71	95.69	92.90	2.72	82.99	96.19	93.10	2.74	82.99	96.19	93.67	2.19	85.53	96.45	93.80	2.14	86.80	96.45	93.92	2.58	84.52	96.70	94.05	2.51	84.52	96.19	94.18	2.64	84.77	96.45	93.79	3.02	82.23	96.19	93.86	3.14	81.47	96.45	93.53	3.53	80.71	96.19	93.57	3.59	80.20	96.70
