transferSPC	meanAcc1	stdAcc1	minA1cc1	maxAcc1	meanAcc10	stdAcc10	minA1cc10	maxAcc10	meanAcc20	stdAcc20	minA1cc20	maxAcc20	meanAcc30	stdAcc30	minA1cc30	maxAcc30	meanAcc40	stdAcc40	minA1cc40	maxAcc40	meanAcc50	stdAcc50	minA1cc50	maxAcc50	meanAcc60	stdAcc60	minA1cc60	maxAcc60	meanAcc70	stdAcc70	minA1cc70	maxAcc70	meanAcc80	stdAcc80	minA1cc80	maxAcc80	meanAcc90	stdAcc90	minA1cc90	maxAcc90	meanAcc100	stdAcc100	minA1cc100	maxAcc100	meanAcc110	stdAcc110	minA1cc110	maxAcc110	meanAcc120	stdAcc120	minA1cc120	maxAcc120	meanAcc130	stdAcc130	minA1cc130	maxAcc130	meanAcc140	stdAcc140	minA1cc140	maxAcc140	meanAcc150	stdAcc150	minA1cc150	maxAcc150
1	46.92	8.18	28.68	63.96	68.80	4.77	56.85	78.17	75.71	4.85	62.44	84.01	78.40	4.58	63.20	87.31	80.20	3.96	68.02	88.07	81.51	4.01	69.80	90.36	82.67	3.97	71.57	89.59	83.24	3.77	72.84	91.62	84.08	3.96	73.60	92.13	84.69	3.97	74.37	92.64	85.44	3.74	73.86	92.39	85.58	3.96	73.35	93.91	85.80	3.77	76.14	92.64	86.30	3.65	76.14	93.40	86.48	3.56	77.41	92.89	86.86	3.75	76.65	93.15
10	61.58	10.18	35.53	83.25	86.81	2.60	80.71	92.39	90.19	2.05	83.50	95.43	91.53	2.00	84.77	94.67	92.44	1.71	87.82	95.94	93.26	1.65	88.83	96.45	93.71	1.74	88.58	97.21	93.89	1.61	89.59	96.70	94.21	1.73	90.10	97.72	94.53	1.70	90.86	97.97	94.53	1.57	89.85	97.21	95.03	1.58	90.86	98.22	95.17	1.53	91.37	97.97	94.89	1.62	90.86	97.97	95.15	1.49	91.88	97.97	95.14	1.36	92.64	98.22
20	75.81	8.39	44.67	88.83	90.97	2.13	83.50	95.18	92.98	1.33	90.10	95.94	93.67	1.28	90.61	95.69	94.24	1.41	91.37	96.95	94.61	1.17	91.62	96.70	94.86	1.18	91.62	96.95	95.14	1.09	92.39	96.95	95.44	1.09	92.89	97.46	95.61	1.00	92.89	97.46	95.86	0.91	94.16	97.72	95.86	0.99	93.15	98.22	95.82	1.00	93.91	97.97	95.69	1.04	92.89	97.72	95.61	1.18	93.15	98.22	95.77	1.19	92.89	97.97
30	79.05	6.68	55.33	90.86	91.88	1.72	86.04	95.18	93.28	1.39	90.10	95.94	93.92	0.96	91.12	95.69	94.51	0.88	92.13	96.19	94.79	1.04	92.13	96.95	94.96	1.05	92.64	96.70	95.26	1.02	92.64	97.46	95.37	1.03	92.64	97.46	95.53	1.09	92.89	97.46	95.81	0.95	93.15	97.46	95.62	0.96	93.15	97.46	95.71	0.99	93.40	97.46	95.57	0.94	92.89	97.21	95.69	0.99	93.40	97.46	95.72	0.79	93.91	97.21
40	82.82	9.05	48.22	93.40	93.99	2.32	79.95	96.70	94.94	1.97	82.49	97.21	95.58	1.61	86.55	97.97	95.80	1.17	90.36	97.97	96.02	1.42	89.34	98.48	96.02	1.38	89.34	98.98	96.27	1.17	91.88	98.22	96.21	1.44	89.09	98.22	96.36	1.08	93.40	98.22	96.55	1.12	94.16	98.73	96.51	1.06	93.91	98.98	96.62	1.08	92.89	98.73	96.61	1.06	93.65	98.73	96.66	1.13	92.39	98.48	96.38	1.36	90.36	98.73
50	84.47	7.63	64.21	93.40	93.98	1.33	88.83	96.19	94.51	1.17	92.13	97.21	95.00	1.09	91.88	97.21	95.09	1.19	92.64	97.21	95.26	1.04	92.39	97.21	95.44	1.08	92.39	97.46	95.63	1.03	92.89	97.46	95.74	1.02	92.89	97.46	95.78	1.02	93.15	97.46	95.99	1.03	93.15	97.72	95.89	1.03	93.15	97.46	95.78	1.01	93.91	97.46	95.88	1.02	93.15	97.72	95.85	0.98	93.15	97.72	95.84	0.97	93.40	97.46
60	84.85	9.79	40.36	94.16	94.66	1.48	88.58	97.46	95.43	0.94	92.89	97.46	95.91	0.98	94.16	97.97	95.97	0.97	94.16	97.72	96.24	0.85	94.67	97.72	96.36	0.87	94.16	97.97	96.26	0.82	94.16	97.72	96.36	0.84	94.42	97.97	96.36	0.86	94.67	98.22	96.51	0.80	94.67	97.72	96.45	0.75	94.42	97.72	96.59	0.81	94.16	97.97	96.45	0.81	94.42	97.97	96.46	0.89	94.42	97.97	96.47	0.85	94.42	97.97
70	76.17	10.89	53.81	90.86	89.71	7.60	63.96	96.19	92.70	5.10	72.08	96.45	94.15	3.33	83.25	97.21	94.87	2.51	85.53	97.46	95.31	2.74	83.50	97.97	95.65	2.21	85.28	98.22	95.90	1.93	88.58	97.72	96.02	1.99	87.56	98.73	96.14	1.95	88.58	98.22	96.36	1.62	90.86	98.48	96.08	2.22	88.07	98.22	96.18	2.28	88.83	98.73	95.99	2.56	86.80	98.22	96.34	1.67	89.59	98.48	96.33	1.69	89.34	98.22
80	88.55	4.12	74.87	95.18	94.23	2.63	82.74	96.70	95.28	1.85	84.77	97.72	95.70	1.69	86.04	97.46	96.07	1.31	89.09	97.97	96.30	1.16	91.88	97.97	96.44	1.00	91.88	98.22	96.57	0.88	93.91	98.22	96.64	0.88	93.15	98.48	96.81	0.78	95.18	98.48	96.82	0.69	95.43	98.73	96.93	0.69	95.43	98.22	96.75	0.75	94.16	97.97	96.75	0.91	94.67	98.48	96.76	0.73	94.92	98.22	96.76	0.76	95.43	98.22
90	89.71	4.85	74.62	95.43	95.14	2.11	82.49	96.70	95.77	1.08	91.62	97.72	96.15	0.87	91.88	97.46	96.38	0.74	93.91	97.72	96.56	0.70	94.42	97.72	96.58	0.58	94.67	97.72	96.76	0.60	95.43	97.97	96.79	0.63	94.42	98.22	96.87	0.67	94.42	98.22	96.92	0.63	94.92	97.97	96.94	0.76	94.67	98.48	96.89	0.66	95.18	98.22	96.92	0.89	93.40	98.48	96.93	0.69	94.67	98.48	96.89	0.76	94.42	98.22
