samplesPerClass	meanAcc	stdAcc	minAcc	maxAcc
1		42.50	8.11	18.78	58.12
2		54.52	8.76	34.77	75.63
3		59.17	7.21	39.85	72.34
4		65.94	8.34	47.46	81.47
5		70.09	6.00	55.08	81.47
6		73.09	6.30	49.24	81.73
7		75.27	4.97	61.93	84.77
8		75.07	5.02	63.20	86.29
9		76.15	7.02	55.58	88.58
10		76.66	4.53	64.47	85.53
11		79.40	5.21	61.68	88.32
12		49.26	14.14	11.93	76.90
13		75.36	5.48	58.38	84.01
14		79.41	3.86	68.53	86.04
15		82.45	3.07	68.53	88.32
16		83.69	3.07	74.62	89.09
17		83.52	3.16	73.60	89.34
18		84.39	2.75	77.16	89.09
19		86.00	2.81	73.10	91.12
20		84.30	3.05	75.38	89.59
25		86.65	2.66	81.22	92.39
30		89.32	2.34	82.23	94.42
35		72.18	8.22	50.76	88.32
40		91.83	1.35	88.07	95.43
45		92.23	1.83	86.55	95.94
50		92.58	2.14	80.96	95.94
60		93.11	1.49	89.34	95.94
70		89.90	3.69	76.65	95.18
80		94.95	1.11	91.62	96.70
90		95.38	1.21	91.12	97.21
100		95.75	0.89	92.13	97.21
110		96.21	0.88	93.65	97.72
120		96.21	0.81	93.40	97.97
130		96.14	0.89	93.65	97.97
140		96.02	1.03	93.91	98.22
150		96.54	0.78	94.42	97.72
