transferSPC	meanAcc1	stdAcc1	minA1cc1	maxAcc1	meanAcc10	stdAcc10	minA1cc10	maxAcc10	meanAcc20	stdAcc20	minA1cc20	maxAcc20	meanAcc30	stdAcc30	minA1cc30	maxAcc30	meanAcc40	stdAcc40	minA1cc40	maxAcc40	meanAcc50	stdAcc50	minA1cc50	maxAcc50	meanAcc60	stdAcc60	minA1cc60	maxAcc60	meanAcc70	stdAcc70	minA1cc70	maxAcc70	meanAcc80	stdAcc80	minA1cc80	maxAcc80	meanAcc90	stdAcc90	minA1cc90	maxAcc90	meanAcc100	stdAcc100	minA1cc100	maxAcc100	meanAcc110	stdAcc110	minA1cc110	maxAcc110	meanAcc120	stdAcc120	minA1cc120	maxAcc120	meanAcc130	stdAcc130	minA1cc130	maxAcc130	meanAcc140	stdAcc140	minA1cc140	maxAcc140	meanAcc150	stdAcc150	minA1cc150	maxAcc150
1	35.81	7.67	19.29	53.05	51.30	7.58	34.52	64.97	51.20	6.92	35.28	63.20	51.89	5.98	39.85	63.71	52.51	5.92	37.31	67.01	51.28	5.71	36.29	63.20	52.36	5.66	39.59	64.21	51.56	5.81	39.34	63.45	52.34	5.78	39.59	65.99	51.85	6.39	35.03	63.71	52.26	6.43	37.56	65.74	52.76	6.43	39.34	65.23	53.02	6.43	37.56	65.99	53.33	6.75	38.07	67.77	54.02	6.46	40.86	66.50	54.12	6.67	36.29	67.26
10	55.75	9.03	33.50	73.35	71.26	3.39	64.47	79.95	73.76	3.89	62.18	80.96	75.20	3.12	64.47	81.47	76.55	2.96	68.78	83.25	77.01	2.95	70.30	81.22	77.97	2.89	71.32	84.52	78.49	2.78	70.81	83.76	78.40	2.92	71.07	82.99	78.97	2.65	72.84	85.03	79.33	2.73	72.34	84.52	79.46	2.82	70.05	84.01	79.83	2.70	72.59	84.52	80.03	2.73	72.34	85.53	80.53	2.78	74.37	85.28	80.48	2.56	72.84	85.28
20	58.82	8.94	36.80	73.60	76.78	3.43	70.30	81.73	79.79	2.33	74.87	84.77	81.23	2.57	72.59	85.03	81.91	2.23	76.14	86.80	82.85	2.13	78.17	87.06	83.09	2.00	78.17	86.29	83.50	1.86	79.19	87.56	83.72	2.09	78.17	86.80	83.90	2.18	78.93	89.09	84.32	1.90	80.20	88.07	84.45	2.09	80.46	88.58	84.87	2.06	79.70	89.34	84.85	2.28	80.20	90.86	84.96	2.23	79.70	89.34	85.25	2.10	79.95	89.85
30	60.96	8.39	26.14	74.87	79.86	2.74	72.34	85.28	82.30	1.87	76.14	86.04	83.82	1.96	78.93	87.31	84.20	1.83	78.17	87.06	85.02	1.85	78.68	88.32	85.19	1.61	79.95	87.56	85.42	1.84	80.20	89.34	85.92	1.63	80.20	88.32	86.12	1.83	79.44	89.34	86.57	1.68	80.96	90.10	86.68	1.66	81.22	89.85	86.85	1.72	81.22	89.34	86.87	1.74	80.71	90.10	87.22	1.84	81.22	91.62	87.49	1.60	82.49	90.36
40	60.99	9.00	34.01	76.40	80.89	2.64	74.87	85.53	83.12	2.29	77.92	89.59	84.46	2.36	78.93	89.59	85.21	2.29	80.46	89.09	86.07	2.13	80.71	90.36	86.19	2.27	81.22	90.61	87.03	2.32	81.47	91.12	87.22	2.15	82.23	91.12	87.42	2.29	79.95	90.86	87.74	2.00	81.98	91.37	88.03	2.06	82.23	91.12	88.58	1.97	82.49	92.39	88.45	1.85	82.99	91.88	88.69	1.94	84.01	92.13	88.72	1.94	83.25	92.13
50	63.47	8.35	43.40	77.16	82.16	2.42	75.63	86.55	83.92	2.55	73.60	87.82	84.82	2.71	72.08	89.09	85.80	2.35	78.68	90.36	86.27	2.31	78.43	89.34	86.90	2.31	80.20	91.12	87.52	2.52	79.44	91.12	87.64	2.56	80.46	91.37	87.98	2.39	79.70	91.62	88.19	2.41	80.96	92.64	88.60	2.37	79.70	92.89	88.87	2.23	82.23	93.91	88.87	2.31	81.47	93.65	89.37	2.46	80.71	94.67	89.26	2.35	80.46	93.40
60	67.40	6.12	50.00	78.17	82.74	2.42	76.14	88.32	85.29	2.10	80.20	89.34	86.51	2.13	81.47	90.86	87.10	2.12	82.74	91.12	87.70	2.03	82.49	92.89	87.98	1.76	82.49	92.39	88.52	1.98	83.50	92.39	88.92	1.87	85.28	92.89	89.22	1.71	85.28	93.40	89.26	1.78	85.28	93.40	89.56	1.89	84.77	93.15	89.53	1.69	85.53	93.15	89.78	1.74	86.55	93.40	90.00	1.78	86.55	94.16	90.25	1.63	85.79	94.16
70	64.83	6.41	47.72	77.41	84.29	2.32	78.93	88.58	86.18	2.07	79.44	90.36	87.42	2.01	82.23	91.37	88.39	1.82	84.26	92.13	89.10	1.77	84.77	92.39	89.57	1.97	84.52	93.91	90.02	1.97	84.77	94.92	90.30	1.72	84.77	94.16	90.66	1.84	85.28	94.67	90.86	1.72	86.04	94.42	90.89	1.93	86.29	94.67	91.22	1.67	86.29	94.16	91.39	1.96	84.77	95.43	91.59	1.71	87.56	95.43	91.82	2.05	84.77	95.43
80	65.33	6.96	48.48	78.17	84.88	2.03	80.20	90.61	87.41	1.69	84.26	90.86	88.97	1.56	83.76	90.86	89.59	1.55	84.77	92.89	90.54	1.42	87.82	92.89	90.99	1.23	88.32	93.65	91.34	1.28	88.83	94.16	91.92	1.44	87.82	94.42	91.95	1.49	88.32	94.67	92.20	1.44	88.83	95.43	92.29	1.39	88.83	95.18	92.71	1.44	88.83	95.18	92.41	1.47	88.83	94.42	92.76	1.31	89.34	95.69	92.50	1.20	89.85	95.18
90	68.37	7.46	43.91	80.96	84.23	2.36	78.17	90.10	87.36	1.87	83.50	91.37	88.02	1.82	81.47	90.86	89.08	1.98	84.26	92.39	89.54	1.80	84.52	92.13	89.97	1.96	84.26	93.91	90.13	2.11	82.74	93.65	90.59	1.95	84.26	94.16	91.04	2.03	85.79	94.67	91.20	2.00	85.53	94.42	91.22	2.03	85.53	95.18	91.45	1.70	87.31	95.18	91.19	1.90	86.04	94.42	91.31	1.86	86.55	95.43	91.51	1.88	86.29	94.67
100	68.07	5.44	57.11	78.93	85.74	2.35	79.44	91.12	87.98	1.94	82.49	90.86	89.85	1.46	86.04	93.15	90.80	1.73	86.55	93.91	91.35	1.64	86.55	94.42	91.93	1.50	87.82	95.18	92.28	1.57	87.56	94.92	92.58	1.32	89.09	94.67	92.74	1.41	89.59	95.69	92.98	1.48	88.83	96.95	93.02	1.63	88.58	96.19	93.33	1.51	89.34	97.46	93.47	1.28	90.61	95.94	93.35	1.10	90.86	96.70	93.40	1.45	89.34	96.95
110	67.67	6.26	51.02	78.17	84.64	2.66	77.16	89.59	87.73	2.31	80.46	92.39	88.58	1.95	82.49	91.37	89.73	2.24	84.26	94.42	90.39	2.02	83.76	93.65	90.92	1.81	85.79	93.91	91.34	1.78	85.79	94.16	91.50	1.99	84.52	94.16	91.70	1.98	85.03	94.67	91.91	1.87	86.29	94.42	92.09	1.87	87.06	95.18	92.50	1.77	86.55	95.18	92.54	1.72	86.04	95.69	92.13	1.84	86.04	94.67	92.45	1.70	87.82	95.43
