transferSPC	meanAcc1	stdAcc1	minA1cc1	maxAcc1	meanAcc10	stdAcc10	minA1cc10	maxAcc10	meanAcc20	stdAcc20	minA1cc20	maxAcc20	meanAcc30	stdAcc30	minA1cc30	maxAcc30	meanAcc40	stdAcc40	minA1cc40	maxAcc40	meanAcc50	stdAcc50	minA1cc50	maxAcc50	meanAcc60	stdAcc60	minA1cc60	maxAcc60	meanAcc70	stdAcc70	minA1cc70	maxAcc70	meanAcc80	stdAcc80	minA1cc80	maxAcc80	meanAcc90	stdAcc90	minA1cc90	maxAcc90	meanAcc100	stdAcc100	minA1cc100	maxAcc100	meanAcc110	stdAcc110	minA1cc110	maxAcc110	meanAcc120	stdAcc120	minA1cc120	maxAcc120	meanAcc130	stdAcc130	minA1cc130	maxAcc130	meanAcc140	stdAcc140	minA1cc140	maxAcc140	meanAcc150	stdAcc150	minA1cc150	maxAcc150
1	40.80	7.09	25.89	60.91	54.01	5.29	36.55	61.42	55.33	5.93	37.31	66.50	55.43	6.01	35.53	65.99	56.47	5.23	44.67	66.50	56.89	5.72	43.40	68.27	56.18	5.65	42.64	67.26	56.30	5.56	44.67	67.51	57.22	5.47	41.12	68.02	57.62	6.01	44.16	69.54	57.19	6.14	41.12	69.29	58.20	6.30	43.65	70.30	58.42	6.20	42.13	72.34	58.27	6.53	43.40	72.08	58.91	6.74	42.13	71.32	58.70	6.96	42.64	72.84
10	58.61	8.06	38.32	74.37	74.64	4.43	60.41	83.25	79.03	4.32	60.41	84.77	80.21	3.95	64.72	87.06	81.90	3.42	69.29	86.80	82.80	3.04	69.80	86.55	83.40	3.23	70.30	87.31	84.07	3.18	71.57	89.09	84.70	2.80	72.84	88.32	85.00	3.30	72.08	89.59	85.38	3.05	73.35	90.10	85.66	3.10	73.10	90.36	86.00	3.08	73.35	90.61	86.42	3.08	74.11	91.12	86.61	2.86	74.62	91.12	86.82	2.95	74.87	91.37
20	65.50	10.29	35.03	79.95	83.05	3.10	76.14	89.09	85.95	2.91	77.16	91.12	87.06	2.84	77.41	90.86	87.95	2.79	80.46	93.15	88.89	2.85	81.22	93.40	89.49	2.80	78.93	94.42	90.25	2.56	82.74	93.91	90.49	2.55	82.74	94.42	90.73	2.45	84.01	93.91	90.93	2.43	83.76	95.18	91.15	2.20	85.03	94.42	91.35	2.26	84.26	95.18	91.72	2.17	84.52	95.18	91.83	2.04	86.80	95.69	91.91	2.01	84.77	95.18
30	68.23	9.31	45.94	83.76	86.72	3.45	71.83	92.39	89.03	2.86	76.14	93.15	90.68	2.40	82.23	94.16	91.55	2.26	84.01	95.18	92.10	2.34	84.01	94.92	92.49	2.31	85.53	95.43	92.80	2.09	84.52	95.69	93.14	1.94	86.29	95.69	93.39	2.12	86.04	95.94	93.66	1.86	86.04	96.19	93.94	1.73	88.07	96.45	93.79	1.94	86.04	96.45	94.08	1.74	86.80	96.19	94.20	1.81	87.31	96.45	94.08	1.80	87.56	96.95
40	70.96	8.41	53.55	86.04	88.59	1.96	82.49	92.39	90.83	1.52	87.06	94.16	92.17	1.49	88.58	94.67	93.15	1.46	89.85	95.69	93.66	1.12	91.37	96.70	93.87	1.15	90.86	95.69	94.41	1.15	91.12	96.45	94.73	1.10	91.62	96.19	94.79	0.93	92.39	96.45	94.95	1.01	91.88	96.95	95.23	1.00	92.13	96.70	95.31	1.15	91.88	96.95	95.30	0.93	92.64	96.70	95.23	1.03	91.88	97.46	95.38	1.10	92.13	97.21
50	75.27	7.32	54.06	88.32	90.82	1.92	84.01	94.42	92.52	1.60	88.32	96.19	93.60	1.26	90.10	96.19	94.13	1.38	89.34	97.21	94.58	1.24	90.10	96.45	95.04	1.21	90.36	97.46	95.38	1.16	89.85	97.21	95.64	1.22	90.61	97.97	95.76	1.23	90.36	97.21	96.02	1.19	90.86	97.72	96.05	1.21	91.12	97.97	96.00	1.09	91.62	97.72	96.02	1.16	90.86	97.72	95.94	1.34	89.85	98.22	96.08	1.03	92.39	97.46
60	76.31	7.05	61.17	88.83	90.86	1.69	86.29	94.16	93.32	1.12	91.12	95.18	94.30	1.01	92.39	96.19	94.71	1.01	92.39	96.70	94.98	0.86	92.64	96.70	95.18	0.93	93.40	96.95	95.49	0.82	93.65	96.70	95.47	0.85	93.91	97.46	95.70	0.69	94.16	97.21	95.78	0.81	93.91	97.46	95.85	0.74	94.16	97.46	95.83	0.72	94.67	97.46	95.71	0.78	93.65	97.97	95.76	0.78	93.91	97.72	95.73	0.73	94.16	97.46
70	73.60	6.71	57.11	85.53	89.93	2.06	85.28	94.67	92.34	1.80	87.31	95.94	93.40	1.39	90.10	96.19	94.09	1.41	89.59	95.94	94.64	1.35	90.86	97.72	94.94	1.27	90.10	96.45	95.11	1.14	92.13	96.70	95.33	1.22	91.62	96.95	95.61	1.11	92.64	97.46	95.64	1.11	92.89	97.21	95.65	0.91	93.15	97.21	95.61	1.29	91.12	97.46	95.93	0.97	92.89	97.46	95.83	0.90	93.40	97.46	95.92	0.96	92.64	97.46
80	77.46	8.05	51.78	90.61	91.95	1.57	88.07	94.92	93.61	1.21	89.59	96.19	94.67	1.03	91.37	96.95	95.12	0.86	93.15	96.70	95.49	1.02	92.13	97.46	95.61	0.87	93.91	97.46	95.74	0.82	93.65	97.97	96.05	0.79	94.16	97.46	96.09	0.90	93.15	97.72	96.24	0.80	94.16	97.72	96.07	0.87	93.65	97.46	96.18	0.80	93.65	97.46	96.22	0.77	94.67	97.72	96.06	0.82	93.65	97.72	96.24	0.74	94.16	97.46
90	80.61	7.84	52.54	90.10	92.29	1.52	88.58	95.69	94.11	1.08	91.12	96.19	95.01	0.83	92.64	96.70	95.62	0.85	93.15	97.21	96.01	0.74	93.65	97.21	96.32	0.75	93.91	97.72	96.57	0.73	94.42	97.97	96.56	0.71	94.42	97.72	96.75	0.73	94.42	97.97	96.92	0.58	95.69	97.97	96.84	0.54	95.69	97.97	97.02	0.65	95.18	98.22	96.81	0.68	95.18	97.97	96.79	0.60	95.43	97.97	96.92	0.66	95.18	97.97
