samplesPerClass	meanAcc	stdAcc	minAcc	maxAcc
1		51.89	4.24	44.67	56.35
10		84.70	3.51	77.66	88.58
20		90.75	1.67	87.31	92.13
25		92.10	1.69	89.34	93.91
30		92.71	1.12	90.86	93.91
35		93.58	1.18	91.12	94.67
40		94.16	1.00	92.89	95.43
45		94.38	0.48	93.40	94.92
50		94.60	0.76	93.40	95.43
60		95.83	1.08	94.67	97.21
70		95.25	0.38	94.92	95.94
80		95.61	0.78	93.91	96.19
90		96.34	0.59	95.43	96.95
100		96.88	0.60	95.94	97.72
110		96.92	0.46	96.19	97.46
120		96.56	0.43	96.19	97.46
130		96.92	0.34	96.19	97.21
140		96.74	0.60	95.94	97.72
150		96.92	0.39	96.19	97.46
