samplesPerClass	meanAcc	stdAcc	minAcc	maxAcc
1		37.81	11.95	10.41	61.42
10		66.56	14.16	26.65	88.32
20		86.66	9.60	13.20	92.64
25		89.21	2.65	78.93	93.91
30		90.87	3.19	67.77	94.92
35		91.90	1.80	87.06	95.43
40		92.78	1.79	87.82	95.69
45		93.01	3.65	61.68	96.45
50		93.45	1.50	89.59	96.95
60		94.01	2.99	70.30	96.70
70		94.50	1.0	    10.15	97.46
80		95.80	0.74	93.65	97.72
90		96.13	0.76	94.16	97.72
100		96.55	0.73	94.16	98.48
110		97.04	0.63	95.18	98.48
120		96.99	0.56	95.69	98.22
130		97.22	0.47	95.94	98.22
140		97.32	0.50	29.95	98.22
150		97.41	0.70	95.43	98.73
