samplesPerClass	meanAcc	stdAcc	minAcc	maxAcc
1		39.05	7.42	17.01	57.36
10		72.89	9.00	47.72	85.03
20		84.60	6.10	44.67	92.39
25		85.73	8.33	46.95	91.88
30		89.92	2.83	77.41	94.42
35		90.53	2.75	10.41	90.36
40		91.55	2.80	78.68	95.94
45		92.21	2.60	78.68	96.95
50		92.47	3.20	75.38	95.94
60		93.91	2.33	82.99	97.46
70		94.96	1.99	65.99	96.19
80		95.15	1.56	87.56	97.72
90		95.62	1.17	91.62	97.46
100		96.17	1.61	85.28	97.97
110		95.89	2.55	75.63	97.97
120		96.10	3.49	64.72	98.48
130		96.09	3.71	60.66	97.97
140		96.07	2.69	76.65	98.22
150		96.62	1.98	82.99	98.73
