samplesPerClass	meanAcc	stdAcc	minAcc	maxAcc
1		31.17	9.12	13.71	49.24
2		39.65	14.08	10.91	66.75
3		48.20	13.84	16.50	74.11
4		48.61	14.08	13.20	69.80
5		55.82	14.51	15.48	78.17
6		57.32	15.72	11.93	79.44
7		59.37	14.41	15.48	80.46
8		62.75	15.64	13.20	81.73
9		62.10	15.72	16.75	84.77
10		66.08	15.20	19.80	86.29
11		65.61	15.15	16.50	88.07
12		66.31	13.70	10.66	63.71
13		58.51	16.57	11.93	81.22
14		63.73	17.93	16.50	87.56
15		75.88	11.43	35.28	89.59
16		75.24	10.11	35.03	87.56
17		77.19	12.14	22.08	90.10
18		77.05	12.88	16.75	90.86
19		78.45	11.57	32.99	89.85
20		80.04	9.84	30.20	90.36
25		83.10   8.31	16.24	91.37
30		86.88	6.99	45.18	93.91
35		83.88	13.83	18.02	95.69
40		88.38	7.68	54.31	95.18
45		90.91	5.88	66.75	96.45
50		91.67	4.37	71.07	96.19
60		90.70	7.93	34.77	96.70
70		92.32	5.30	16.75	89.85
80		95.61	2.24	82.74	98.22
90		95.22	7.23	34.52	98.48
100		96.59	1.50	90.61	98.48
110		96.41	2.60	78.17	98.22
120		97.00	1.20	91.62	98.73
130		96.94	1.72	86.29	98.73
140		96.22	15.77	25.89	98.22
150		96.60	9.04	16.50	98.98
