samplesPerClass	meanAcc	stdAcc	minAcc	maxAcc
1		26.50	5.92	11.17	43.15
2		28.97	6.80	16.50	50.51
3		31.52	7.99	10.66	50.25
4		32.85	5.90	18.78	46.70
5		35.34	8.87	20.30	57.61
6		35.21	7.78	15.99	48.98
7		34.52	7.32	20.81	50.25
8		36.68	8.97	15.99	64.21
9		34.12	7.88	16.24	50.25
10		35.43	9.07	13.20	53.55
11		35.42	7.78	12.44	56.35
12		34.99	6.82	14.97	44.16
13		33.96	8.92	19.80	54.82
14		38.30	8.20	21.32	66.75
15		43.32	9.05	22.59	65.74
16		44.42	8.94	27.92	69.29
17		43.95	9.58	18.53	63.20
18		44.81	10.80	16.24	61.93
19		48.29	8.74	26.40	67.51
20		44.86	8.23	22.34	65.48
25		46.71	11.44	20.30	73.35
30		55.54	10.05	35.28	72.59
35		57.88	9.39	13.45	60.66
40		59.85	10.39	34.01	74.62
45		60.82	10.67	18.27	79.19
50		62.89	10.47	35.03	80.96
60		63.62	10.47	35.03	82.99
70		65.42	10.70	21.57	71.07
80		70.30	10.27	20.81	83.25
90		72.58	8.24	47.46	85.28
100		72.88	8.69	43.40	85.28
110		73.73	8.93	36.55	87.56
120		74.97	8.66	48.73	88.07
130		76.00	7.52	54.31	87.56
140		77.76	8.88	42.39	85.53
150		78.16	7.72	53.55	90.36
