samplesPerClass	meanAcc	stdAcc	minAcc	maxAcc
1		19.33	5.56	10.15	36.55
2		20.34	5.66	10.15	37.82
3		21.87	6.25	11.42	40.61
4		21.58	5.63	10.41	38.83
5		23.43	6.69	11.17	42.39
6		23.24	6.45	10.15	43.91
7		22.96	6.36	11.42	37.31
8		23.54	6.40	10.91	41.37
9		24.44	7.00	11.17	38.83
10		23.90	6.75	12.18	41.37
11		25.10	7.13	11.68	41.37
12		25.62	4.84	10.41	32.74
13		26.62	6.47	11.68	39.59
14		26.78	7.04	11.17	50.51
15		27.63	7.14	11.17	49.49
16		29.35	8.01	12.44	47.72
17		29.24	7.58	16.50	48.73
18		31.04	7.38	13.96	47.21
19		30.31	7.43	10.66	49.49
20		31.93	7.78	10.41	48.98
25		31.95	7.58	12.94	47.21
30		37.59	8.91	14.47	53.81
35		36.58	6.13	10.66	37.31
40		41.17	8.79	17.77	60.66
45		45.56	9.86	17.26	62.94
50		47.14	8.65	26.65	63.71
60		45.86	9.65	19.54	72.84
70		51.98	8.16	13.71	54.06
80		56.43	9.41	29.44	74.37
90		62.01	9.04	29.44	77.92
100		64.41	9.63	36.80	83.25
110		64.57	11.02	17.01	80.96
120		65.41	11.17	26.14	84.01
130		69.28	9.39	34.77	84.26
140		69.39	12.71	23.60	79.19
150		71.28	9.65	39.85	84.52
