threshold   fpr	tpr
2.0000000000	0.0000000000	0.0000000000
1.0000000000	0.0137550201	0.0179216867
0.9333333333	0.0248995984	0.0334337349
0.8666666667	0.0390060241	0.0542670683
0.8000000000	0.0542168675	0.0763554217
0.7333333333	0.0730421687	0.1027108434
0.6666666667	0.1030120482	0.1460341365
0.6000000000	0.1395080321	0.1983433735
0.5333333333	0.1934236948	0.2732931727
0.4666666667	0.2603915663	0.3678212851
0.4000000000	0.3345381526	0.4716867470
0.3333333333	0.4198795181	0.5878514056
0.2666666667	0.4980923695	0.6935240964
0.2000000000	0.5709839357	0.7902610442
0.1333333333	0.6456827309	0.8891064257
0.0666666667	0.6922690763	0.9508534137
0.0000000000	1.0000000000	1.0000000000
