samplesPerClass	meanAUC	stdAUC	minAUC	maxAUC
1		53.69	10.16	30.75	72.41
10		56.76	9.30	33.87	72.72
20		57.87	9.65	33.98	73.33
30		57.79	8.18	39.46	74.15
40		59.12	9.13	29.44	76.02
50		59.14	9.42	28.25	74.73
100		61.30	10.25	26.34	77.25
150		63.40	8.76	37.13	77.52
200		63.29	9.82	37.95	79.67
300		68.57	7.98	42.47	83.12
400		71.78	8.84	47.04	85.04
500		74.82	7.51	49.99	85.83
600		76.59	8.69	49.11	86.92
700		78.82	6.86	47.42	88.43
800		78.98	10.87	43.28	89.00
900		79.54	9.34	49.87	87.63
1000		79.85	8.49	50.00	89.61
1500		81.70	8.13	49.88	90.82
2000		81.54	11.01	47.29	90.15
2500		82.41	9.74	50.00	92.33
3000		84.88	8.10	50.00	92.32
3500		84.98	9.23	50.00	92.27
4000		85.07	9.23	50.00	92.32
4500		85.26	9.21	50.00	93.26
5000		84.56	9.18	50.00	92.45
