samplesPerClass	meanAUC	stdAUC	minAUC	maxAUC
1		49.74	11.33	29.54	73.72
10		55.24	9.26	30.81	72.99
20		57.51	8.55	32.73	73.21
30		58.45	9.50	20.70	77.45
40		59.42	8.66	37.19	76.11
50		60.05	9.03	29.80	77.38
100		63.45	8.16	43.05	79.89
150		63.77	9.02	31.48	79.96
200		65.85	7.60	38.02	79.73
300		71.42	7.26	43.08	83.90
400		72.97	7.86	48.58	86.89
500		75.55	7.00	49.97	90.07
600		76.94	7.17	50.00	86.96
700		78.56	7.77	48.58	89.43
800		79.80	7.52	50.00	89.40
900		79.94	8.79	49.85	87.70
1000		81.34	7.91	49.93	90.28
1500		82.11	8.11	50.00	91.73
2000		83.35	6.72	50.00	90.36
2500		83.68	7.07	49.89	90.51
3000		84.66	8.75	50.00	94.16
3500		86.82	4.54	50.00	92.15
4000		85.83	7.85	47.71	92.88
4500		83.93	11.21	49.99	91.93
5000		84.84	8.64	50.00	92.38
