threshold   fpr	tpr
2.0000000000	0.0000000000	0.0000000000
1.0000000000	0.0007530120	0.0429216867
0.9333333333	0.0011044177	0.0532128514
0.8666666667	0.0016566265	0.0627008032
0.8000000000	0.0025100402	0.0740963855
0.7333333333	0.0033634538	0.0867469880
0.6666666667	0.0052208835	0.1031124498
0.6000000000	0.0069779116	0.1208835341
0.5333333333	0.0104919679	0.1435240964
0.4666666667	0.0176204819	0.1710341365
0.4000000000	0.0280120482	0.2046184739
0.3333333333	0.0433734940	0.2476907631
0.2666666667	0.0735943775	0.3054718876
0.2000000000	0.1289658635	0.3948293173
0.1333333333	0.2397590361	0.5248995984
0.0666666667	0.4873995984	0.7232931727
0.0000000000	1.0000000000	1.0000000000
