threshold	fpr	tpr
2.0000000000	0.0000000000	0.0000000000
1.0000000000	0.0564759036	0.0119979920
0.9333333333	0.0625502008	0.0142068273
0.8666666667	0.0686746988	0.0183734940
0.8000000000	0.0746485944	0.0251004016
0.7333333333	0.0823795181	0.0336345382
0.6666666667	0.0894076305	0.0444779116
0.6000000000	0.0968373494	0.0593373494
0.5333333333	0.1034638554	0.0799196787
0.4666666667	0.1120983936	0.1048192771
0.4000000000	0.1217369478	0.1340361446
0.3333333333	0.1346385542	0.1799196787
0.2666666667	0.1578313253	0.2410642570
0.2000000000	0.2032128514	0.3424196787
0.1333333333	0.3139056225	0.5060742972
0.0666666667	0.5616967871	0.7494979920
0.0000000000	1.0000000000	1.0000000000
