threshold	fpr	tpr
2.0000000000	0.0000000000	0.0000000000
1.0000000000	0.0024096386	0.0252510040
0.9333333333	0.0030120482	0.0321787149
0.8666666667	0.0048694779	0.0410642570
0.8000000000	0.0070281124	0.0513052209
0.7333333333	0.0092369478	0.0658132530
0.6666666667	0.0134036145	0.0856425703
0.6000000000	0.0192771084	0.1066265060
0.5333333333	0.0288654618	0.1345883534
0.4666666667	0.0432730924	0.1716365462
0.4000000000	0.0671686747	0.2238955823
0.3333333333	0.1071285141	0.2983433735
0.2666666667	0.1774096386	0.4014056225
0.2000000000	0.2897088353	0.5442269076
0.1333333333	0.4694277108	0.7228915663
0.0666666667	0.7278614458	0.8990461847
0.0000000000	1.0000000000	1.0000000000
