x	y	classId
0.0279	0.0417	5
-0.0494	0.0143	3
-0.0324	-0.0288	2
-0.0064	-0.0445	4
0.0150	-0.0541	8
-0.0492	0.0048	3
-0.0314	-0.0332	2
-0.0032	-0.0335	4
0.0308	-0.0001	10
0.0261	0.0267	5
-0.0259	0.0539	8
-0.0184	0.0057	0
0.0274	-0.0291	1
0.0210	-0.0334	1
0.0221	0.0264	5
0.0172	-0.0337	1
-0.0064	-0.0135	6
-0.0309	-0.0391	2
0.0458	0.0156	10
-0.0223	-0.0343	2
-0.0530	0.0033	3
-0.0233	-0.0383	2
0.0266	0.0345	5
0.0217	-0.0320	1
0.0224	-0.0360	1
0.0210	-0.0375	1
-0.0457	-0.0048	3
-0.0212	-0.0545	6
-0.0258	-0.0397	2
-0.0223	0.0132	0
-0.0271	-0.0241	2
-0.0214	0.0262	0
0.0281	-0.0261	1
-0.0326	-0.0327	2
-0.0249	0.0161	0
0.0246	0.0358	5
-0.0050	-0.0487	4
0.0245	-0.0406	1
-0.0622	0.0168	3
-0.0072	-0.0512	4
0.0148	0.0079	10
0.0255	-0.0407	1
0.0221	0.0049	10
-0.0077	-0.0379	4
0.0316	-0.0422	1
-0.0156	-0.0127	4
-0.0185	0.0223	0
-0.0232	0.0207	0
-0.0133	0.0079	0
-0.0576	0.0181	3
-0.0426	-0.0125	4
0.0230	-0.0270	1
0.0469	0.0174	10
0.0524	-0.0035	8
-0.0067	-0.0031	6
0.0544	-0.0124	8
-0.0041	0.0491	7
-0.0272	0.0208	0
0.0256	-0.0381	1
-0.0123	0.0488	7
0.0093	0.0332	5
0.0164	-0.0296	1
0.0286	-0.0277	1
-0.0317	-0.0234	2
-0.0489	0.0098	3
0.0239	0.0129	10
0.0211	-0.0247	1
-0.0195	0.0432	7
-0.0101	-0.0191	6
-0.0007	0.0536	7
0.0225	-0.0363	1
0.0161	0.0304	5
0.0198	0.0291	5
0.0183	0.0296	5
-0.0399	-0.0394	2
0.0767	0.0277	10
-0.0313	-0.0355	2
0.0615	0.0110	10
-0.0295	-0.0380	2
0.0032	0.0546	7
-0.0043	0.0537	7
-0.0300	-0.0384	2
0.0516	-0.0271	8
-0.0215	-0.0512	6
0.0435	0.0089	10
0.0351	-0.0316	1
0.0189	-0.0364	1
0.0264	-0.0291	1
-0.0385	-0.0044	3
0.0326	0.0136	10
-0.0086	0.0025	0
-0.0539	0.0188	3
0.0313	0.0393	5
0.0237	-0.0455	1
0.0610	-0.0313	9
0.0236	-0.0260	1
-0.0298	-0.0283	2
-0.0257	0.0253	0
-0.0075	-0.0497	4
0.0194	0.0335	5
-0.0059	0.0169	0
-0.0264	0.0452	8
-0.0251	0.0138	0
-0.0309	-0.0354	2
0.0318	-0.0337	1
0.0162	0.0289	5
0.0518	-0.0103	8
-0.0241	0.0162	0
0.0622	-0.0346	9
0.0512	0.0236	10
0.0227	0.0295	5
0.0211	0.0323	5
0.0549	-0.0084	8
0.0803	0.0276	10
-0.0413	-0.0298	2
0.0248	-0.0334	1
0.0240	0.0336	5
-0.0209	0.0180	0
-0.0487	0.0041	3
0.0446	-0.0157	4
-0.0403	0.0003	3
-0.0199	0.0163	0
-0.0317	-0.0287	2
-0.0034	0.0543	7
0.0374	0.0115	10
0.0600	0.0156	10
-0.0240	0.0200	0
0.0122	0.0190	5
-0.0253	0.0270	0
-0.0177	0.0160	0
-0.0544	0.0073	3
-0.0261	-0.0363	2
0.0225	-0.0291	1
-0.0355	0.0539	9
0.0356	0.0156	10
-0.0259	-0.0157	2
-0.0455	-0.0459	2
-0.0161	0.0148	0
-0.0277	-0.0371	2
-0.0482	0.0123	3
-0.0193	0.0264	0
0.0011	0.0571	7
