x	y	classId
0.7053	-0.4803	5
-0.1568	0.0828	3
0.2797	0.7808	2
0.8365	0.4628	4
-0.7938	-0.3298	8
-0.0650	0.3527	3
0.3369	0.6744	2
0.7575	0.4813	4
0.2059	-0.9498	10
0.5847	-0.3751	5
-0.2415	-0.7726	8
-0.6926	0.3957	0
-0.5328	-0.4968	1
-0.5305	-0.5205	1
0.5378	-0.4011	5
-0.4887	-0.5674	1
-0.2884	0.8435	6
0.3164	0.7567	2
0.3689	-0.7790	10
0.3521	0.6802	2
-0.1343	0.1843	3
0.2915	0.6365	2
0.5242	-0.3833	5
-0.5474	-0.5313	1
-0.5301	-0.5325	1
-0.5161	-0.5436	1
0.0979	0.2418	3
-0.5282	0.8926	6
0.3030	0.7648	2
-0.6970	0.3219	0
0.2232	0.7106	2
-0.6173	0.4434	0
-0.2886	-0.3818	1
0.2732	0.8211	2
-0.4889	0.5361	0
0.5023	-0.3772	5
0.8480	0.4568	4
-0.5635	-0.4651	1
-0.6736	-0.0630	3
0.8537	0.4426	4
-0.7836	-0.0719	10
-0.5997	-0.5289	1
0.2246	-0.7150	10
0.7865	0.5651	4
-0.4956	-0.5851	1
0.7251	0.4497	4
-0.7415	0.3124	0
-0.7309	0.3777	0
-0.6573	0.3955	0
-0.2469	0.1411	3
0.7854	0.4755	4
-0.5689	-0.4466	1
0.4382	-0.8245	10
-0.0701	-0.8596	8
-0.3533	0.9271	6
-0.3887	-0.8496	8
0.9471	-0.0096	7
-0.7013	0.4826	0
-0.4203	-0.5078	1
0.8799	0.1120	7
0.6254	-0.5178	5
-0.6980	-0.2505	1
-0.3703	-0.5117	1
0.3921	0.6783	2
-0.1353	-0.0679	3
0.4485	-0.7421	10
-0.4430	-0.5133	1
0.8615	0.0761	7
-0.6839	0.8361	6
0.8913	0.0246	7
-0.5178	-0.5262	1
0.4878	0.0320	5
0.7502	-0.2843	5
0.4932	-0.2940	5
0.1529	0.8046	2
0.2407	-0.7064	10
0.2815	0.6882	2
0.0287	-0.9070	10
0.1620	0.8365	2
0.9566	0.1347	7
0.9495	-0.0033	7
0.3471	0.6626	2
-0.1982	-0.8338	8
-0.4016	0.8896	6
0.5953	-0.7670	10
-0.4138	-0.5573	1
-0.5014	-0.5556	1
-0.4958	-0.3691	1
-0.2334	0.3737	3
0.2391	-0.8417	10
-0.6380	0.2973	0
-0.1178	0.0354	3
0.5086	-0.3540	5
-0.5453	-0.4680	1
-0.7570	-0.5963	9
-0.5238	-0.3891	1
0.2913	0.7646	2
-0.6141	0.3631	0
0.8200	0.4806	4
0.5800	-0.4421	5
-0.6459	0.4819	0
-0.1349	-0.8868	8
-0.3698	0.5349	0
0.2973	0.7731	2
-0.5903	-0.4934	1
0.4950	-0.4339	5
-0.2498	-0.8309	8
-0.5495	0.4888	0
-0.7314	-0.6277	9
0.3646	-0.7899	10
0.4917	-0.3206	5
0.4594	-0.2707	5
-0.0111	-0.8466	8
0.4011	-0.8225	10
0.1993	0.8135	2
-0.5685	-0.4883	1
0.4950	-0.3241	5
-0.7214	0.2121	0
-0.1275	0.0517	3
0.8243	0.5019	4
-0.1168	0.3592	3
-0.6662	0.4708	0
0.3526	0.8448	2
0.9197	-0.0609	7
-0.0836	-0.7460	10
-0.9573	-0.1117	10
-0.6644	0.3615	0
0.4570	-0.1590	5
-0.6739	0.4443	0
-0.6586	0.3289	0
-0.2233	0.1514	3
0.2896	0.7206	2
-0.7545	-0.1994	1
-0.8628	-0.4015	9
0.5427	-0.7727	10
0.1885	0.7458	2
0.3352	0.7720	2
-0.6326	0.4709	0
0.2706	0.7835	2
-0.2757	0.2883	3
-0.6764	0.4698	0
0.9111	0.0018	7
0.3243	0.7827	2
0.1634	-0.4185	10
0.6969	-0.7598	8
-0.6908	0.5125	0
0.7897	0.1959	7
0.3760	0.6814	2
0.6386	-0.7359	10
-0.5450	-0.5351	1
0.5614	-0.3634	5
0.8803	-0.0017	7
0.4737	-0.2154	5
0.3886	-0.7665	10
-0.3720	0.1595	3
0.5282	-0.3368	5
0.6547	-0.5036	5
-0.2660	-0.8707	8
-0.4668	-0.5486	1
-0.7371	0.4304	0
0.8057	0.0690	7
-0.5177	-0.7892	9
0.2987	0.6963	2
-0.5008	-0.5807	1
0.7702	0.4865	4
0.9252	-0.0606	7
-0.5524	-0.3381	1
-0.6001	0.3671	0
-0.8079	-0.4875	9
0.2993	0.7978	2
-0.4471	0.9044	6
-0.4615	-0.4814	1
0.3205	0.7915	2
-0.6561	0.4208	0
0.5524	-0.3658	5
-0.6842	0.3177	0
-0.4998	-0.4691	1
-0.7322	-0.2572	1
-0.3036	0.0888	3
0.5060	-0.3095	5
-0.3406	0.9119	6
-0.8302	-0.4219	9
-0.5025	-0.4326	1
-0.5466	-0.4663	1
-0.6051	-0.3719	1
0.5639	-0.4162	5
-0.3921	0.8995	6
-0.6327	0.3690	0
-0.8193	-0.0096	10
0.5432	-0.4559	5
-0.6085	0.3810	0
-0.1813	0.0120	3
0.2528	-0.8781	10
