x	y	classId
-0.5266	0.9018	5
-0.8643	-0.3659	3
-0.1352	-0.4042	2
0.0503	-0.8857	4
0.2649	0.1007	8
-0.7510	-0.2516	3
-0.4419	-0.0888	2
-0.7078	0.0123	4
0.5643	0.5973	10
0.1225	0.8256	5
-0.6411	0.7609	8
-0.4123	-0.0803	0
0.5198	-0.1229	1
0.5271	-0.5005	1
-0.3669	0.8970	5
0.5756	-0.5460	1
-0.2773	0.4792	6
-0.2948	-0.3102	2
0.6124	0.7457	10
-0.5989	-0.1427	2
-0.6504	0.0494	3
-0.6448	-0.2713	2
-0.4696	0.7789	5
0.4709	-0.4014	1
0.4753	-0.4708	1
0.4918	-0.4694	1
-0.8293	0.2906	3
-0.5991	-0.7130	6
-0.1251	-0.6784	2
-0.5437	-0.3281	0
-0.4454	-0.1158	2
-0.3492	-0.9534	0
0.1257	0.6700	1
-0.1731	-0.1163	2
-0.6937	0.2678	0
-0.2868	0.8087	5
-0.5909	0.1709	4
0.5501	-0.5539	1
-0.7567	-0.4697	3
-0.7596	0.3246	4
-0.7026	-0.6777	10
0.3736	-0.4842	1
0.4648	0.6268	10
-0.1145	0.9809	4
0.6982	-0.6211	1
0.4376	0.3245	4
-0.8783	-0.0068	0
-0.4187	-0.0272	0
-0.4791	-0.5022	0
-0.7660	-0.2273	3
-0.7374	-0.0600	4
0.4825	-0.3311	1
0.8283	0.6472	10
-0.9064	0.2247	8
-0.7859	0.2968	6
0.0555	1.0161	8
0.9100	0.1374	7
-0.2973	0.1727	0
0.2501	0.6299	1
0.7127	-0.0777	7
-0.7571	0.6159	5
0.2656	-0.2911	1
0.9415	-0.1345	1
-0.0587	-0.7687	2
-0.0863	-0.9779	3
0.3329	0.9142	10
0.4664	-0.7811	1
0.4087	0.3268	7
0.3758	-0.9037	6
0.8793	0.1556	7
0.4721	-0.4754	1
-0.2663	0.5750	5
0.2676	0.3756	5
0.2047	0.9559	5
-0.0117	-0.2196	2
0.6095	0.9080	10
-0.3473	-0.3328	2
-0.8916	0.4822	10
-0.0249	-0.0899	2
1.0124	-0.0113	7
0.8548	0.2814	7
-0.6225	-0.1487	2
0.3529	0.3428	8
-0.3637	0.3724	6
0.2683	1.0006	10
0.4278	-0.6863	1
0.5633	-0.5824	1
0.4188	-0.6549	1
-0.4677	-0.3782	3
1.0602	0.1391	10
-0.7157	0.3059	0
0.3129	0.0160	3
-0.0115	0.9094	5
0.6409	-0.4436	1
-0.6088	0.5146	9
0.4956	-0.5310	1
-0.1699	-0.4763	2
-0.5530	-0.6370	0
-0.6409	0.1169	4
-0.4645	0.6525	5
-0.5563	0.5391	0
0.1759	0.5820	8
0.2342	0.3753	0
-0.0662	-0.4785	2
0.8848	-0.2713	1
-0.3159	0.7212	5
0.7754	-0.0227	8
-0.6018	-0.3290	0
-0.8905	0.2507	9
0.7175	0.7925	10
0.2914	0.8682	5
0.3148	0.9020	5
0.2397	-0.9415	8
0.7833	0.7038	10
-0.2043	0.0206	2
0.4898	-0.3044	1
-0.0013	0.8628	5
-0.5124	-0.3681	0
-0.9285	0.0113	3
0.2418	-0.8725	4
-0.2063	-0.8231	3
-0.0616	0.2377	0
-0.3661	0.0307	2
0.8424	0.1269	7
0.1040	0.6275	10
0.4704	0.9853	10
-0.5755	-0.4561	0
0.3853	0.6918	5
-0.2080	0.1508	0
-0.5650	-0.5980	0
-0.7656	-0.3862	3
-0.3294	-0.5577	2
-0.8339	-0.5495	1
-0.6929	0.5802	9
0.5307	0.8285	10
0.1720	-0.1589	2
-0.0491	-0.6830	2
-0.4803	-0.8621	0
-0.2375	-0.5326	2
0.1127	-0.9796	3
-0.8997	-0.4369	0
0.8499	0.2205	7
-0.2563	-0.5320	2
-0.8672	0.3214	10
-0.7287	0.5246	8
-0.3168	0.1732	0
0.7635	-0.5985	7
-0.1098	-0.8999	2
-0.2001	0.9911	10
0.4720	-0.4631	1
0.2859	0.7935	5
0.7411	0.1218	7
0.4030	0.8331	5
0.7172	0.7704	10
-0.8875	-0.1467	3
-0.2888	0.8426	5
-0.2056	1.0304	5
0.8871	0.4615	8
0.8307	-0.2036	1
0.1191	-1.0262	0
0.9875	-0.0882	7
-0.7397	0.6117	9
-0.2039	-0.8140	2
0.6882	-0.6416	1
-0.0339	-0.9415	4
0.7472	0.2262	7
0.4101	0.5622	1
-0.4843	-0.7228	0
-0.8436	0.4011	9
-0.2584	-0.5420	2
-0.0621	-0.9385	6
0.5869	-0.7806	1
-0.0050	-0.6212	2
-0.6201	-0.0730	0
0.2289	0.8778	5
-0.6110	-0.4324	0
0.6962	-0.6113	1
-0.8581	-0.2614	1
-0.7169	-0.4927	3
0.0879	0.9262	5
-0.3327	-0.9111	6
0.3451	-0.9278	9
0.2619	-0.5776	1
0.4179	-0.3472	1
0.4283	-0.2414	1
-0.3582	0.7892	5
-0.8340	-0.5140	6
-0.2899	0.5347	0
-0.9591	0.1123	10
-0.4999	0.7741	5
-0.5286	-0.6560	0
-0.7281	-0.4241	3
0.8651	0.4726	10
-0.4192	-0.6095	0
-0.5440	-0.3469	0
0.2548	0.8926	5
0.9010	0.2089	7
0.2667	1.0059	10
-0.6489	0.5646	5
0.8530	-0.2114	1
0.8392	0.3311	7
-0.8562	0.4820	0
-0.2518	0.9637	5
-0.2158	-0.6128	2
-0.8561	-0.2963	3
-0.9689	-0.0318	1
0.4385	-0.4522	1
0.8096	0.7102	10
1.0376	-0.0191	7
0.4994	-0.5847	1
0.1129	0.4355	6
-0.2272	0.6781	8
0.7131	0.5201	10
-0.1082	1.0460	10
-0.7476	-0.4058	3
-0.2836	0.8894	5
-0.1765	0.4810	6
-0.2999	-0.4842	2
0.6663	-0.2766	1
-0.0905	-0.0049	4
0.0776	0.9677	8
0.4978	-0.6585	1
0.6956	0.6147	10
-0.6269	0.2867	6
-0.3015	0.9232	5
-0.4357	-0.7513	3
-0.7873	-0.0444	4
-0.4106	0.8211	5
-0.1277	0.6011	1
0.0114	-0.6681	2
0.2518	-0.9021	0
0.2750	-0.9586	8
-0.8167	-0.2632	3
-0.0747	-0.5189	2
0.0502	-0.2900	2
0.7070	-0.4840	1
-0.7283	0.0517	4
0.4797	-0.1164	1
-0.3345	0.6354	8
-0.6610	0.0325	2
0.0989	0.8921	5
0.7394	-0.5610	1
-0.8357	-0.4219	3
0.5959	-0.7169	1
-0.3043	0.7720	5
-0.6867	0.5361	8
-0.0058	-0.3668	2
-0.4863	0.3210	6
-0.3956	0.8903	9
-0.4651	-0.4797	3
0.0102	0.0584	0
0.6346	0.8139	10
-0.5403	-0.1320	0
0.4077	-0.5666	1
0.1741	-0.9476	1
-0.8320	-0.2441	0
-0.1901	-0.2919	2
-0.8433	-0.1713	6
-0.2771	0.4398	6
-0.5863	-0.4918	0
0.1434	-0.7228	2
0.9148	0.2746	7
-0.1515	-0.5801	2
-0.2733	-0.6080	2
0.4837	-0.4407	1
-0.1434	-0.6959	2
-0.7933	0.2361	8
-0.2572	0.8588	5
-1.0212	0.0797	10
0.8012	0.1836	7
-0.4161	0.7123	5
