x	y	classId
0.4792	0.1779	0
-0.2106	0.0417	0
0.2446	-0.1388	0
-0.3369	-0.0620	0
-0.3042	-0.0065	0
-0.4579	0.1753	0
-0.3502	0.1725	0
-0.1504	-0.0924	0
0.2212	-0.1644	0
-0.4324	-0.0190	0
-0.1526	-0.0044	0
0.0798	-0.0914	0
-0.3732	-0.0167	0
-0.4978	0.1573	0
-0.2961	-0.0999	0
-0.2771	0.0914	0
-0.3798	0.0952	0
-0.3405	0.0105	0
-0.1940	-0.0714	0
-0.4541	-0.0410	0
-0.2392	0.1462	0
-0.5132	0.1191	0
-0.4238	-0.0941	0
-0.2758	-0.1048	0
-0.2915	0.1822	0
-0.5239	0.1703	0
-0.5045	0.2233	0
-0.2460	-0.1191	0
-0.2662	-0.1917	0
-0.4709	-0.0228	0
-0.3049	-0.0252	0
0.0666	-0.1640	0
-0.2986	-0.1418	0
-0.4967	0.2529	0
-0.4601	-0.0362	0
0.2565	-0.1352	0
-0.2736	-0.1684	0
-0.3620	0.1034	0
-0.2275	-0.3308	0
-0.2875	-0.1174	0
-0.3206	-0.1124	0
0.2503	-0.1841	0
-0.3359	-0.0367	0
0.1842	-0.1756	0
0.0521	-0.1435	0
-0.3564	-0.1032	0
-0.2968	-0.0901	0
-0.2507	0.0907	0
-0.3459	0.1139	0
0.0058	-0.4571	0
0.4037	0.1612	1
0.2076	0.2490	1
0.2117	0.1917	1
0.4884	0.2121	1
0.2340	0.0437	1
0.2419	0.1131	1
0.1985	-0.0049	1
0.2219	0.1932	1
0.2106	0.0389	1
-0.4641	0.0170	1
0.4668	0.1753	1
0.2452	0.2328	1
0.4451	-0.1022	1
-0.0931	-0.0345	1
0.3052	0.1910	1
-0.4469	-0.0004	1
0.4723	0.0967	1
0.4468	0.0518	1
0.1913	0.2074	1
0.2022	0.1731	1
0.2026	0.2122	1
-0.3767	0.0088	1
-0.3075	0.1966	1
0.1176	-0.1250	1
-0.4784	0.0449	1
0.4410	0.1048	1
0.2485	0.1902	1
0.4521	0.1633	1
0.3383	0.1551	1
0.4431	0.1667	1
0.5015	0.1446	1
0.5044	0.1567	1
-0.4606	0.1273	1
0.3842	0.0586	1
0.0629	0.0062	1
0.2116	0.2192	1
0.3710	0.1898	1
0.1420	-0.0558	1
0.4782	0.0833	1
0.1695	0.2350	1
-0.4080	-0.0104	1
0.4733	0.1595	1
-0.4125	0.0135	1
0.1867	0.1790	1
0.5123	0.0137	1
0.0950	-0.1446	1
0.2576	0.1917	1
0.2911	0.1545	1
0.1983	0.0544	1
-0.3494	0.3053	1
0.0453	0.4618	2
0.0550	0.4457	2
0.0799	0.2153	2
-0.0465	0.5473	2
0.0313	0.2853	2
0.0831	0.5000	2
0.0024	0.4452	2
-0.0588	0.3077	2
0.0857	0.1578	2
0.0510	0.2335	2
0.1006	0.3382	2
-0.1333	0.3062	2
-0.0481	0.2739	2
-0.3126	0.0217	2
0.0351	0.2112	2
0.0976	0.1889	2
-0.0722	0.3143	2
-0.0126	0.4170	2
-0.1490	0.1900	2
-0.0786	0.2769	2
0.4366	0.2672	2
0.1129	0.2810	2
-0.0503	0.3328	2
0.2502	0.3076	2
0.0314	0.1737	2
0.0692	0.1858	2
-0.0382	0.2481	2
-0.0171	0.4339	2
0.4110	0.1309	2
-0.0567	0.5665	2
-0.1905	0.2681	2
0.0667	0.3584	2
0.0268	0.4111	2
-0.0110	0.3111	2
-0.0178	0.4139	2
0.0194	0.2865	2
0.0506	0.4327	2
0.0084	0.3308	2
0.1049	0.3728	2
0.1239	0.3122	2
0.0971	0.3146	2
-0.0052	0.4378	2
-0.2148	0.5534	2
0.1351	0.4196	2
0.0080	0.3195	2
0.0998	0.3538	2
0.0541	0.3080	2
-0.0328	0.2934	2
-0.0466	0.5096	2
0.0497	0.4174	2
-0.0893	0.4511	3
-0.4534	0.2444	3
-0.2657	0.3357	3
-0.1310	0.1782	3
-0.5106	0.0502	3
0.0378	0.5366	3
-0.4000	0.3858	3
-0.3868	0.2842	3
0.3911	-0.0613	3
-0.4557	0.3061	3
-0.1143	0.1968	3
-0.3975	0.2474	3
-0.3299	0.2947	3
0.4642	0.0080	3
-0.4188	-0.1329	3
-0.1195	0.2253	3
-0.3198	0.3396	3
-0.3740	0.3969	3
-0.4040	0.2078	3
-0.3419	0.3750	3
-0.1685	0.1017	3
-0.2245	-0.0193	3
-0.4199	0.2565	3
0.2787	0.3604	3
0.3652	-0.0399	3
-0.3676	0.3467	3
-0.0561	0.2068	3
-0.2391	-0.0061	3
-0.2787	-0.0396	3
0.2995	-0.0913	3
-0.1905	0.1012	3
-0.4239	0.2920	3
0.0283	0.5872	3
0.4090	0.0104	3
-0.2324	0.5054	3
-0.4523	-0.1186	3
0.0033	0.5199	3
-0.3227	0.4077	3
-0.0669	0.4893	3
-0.4411	0.0920	3
-0.1954	0.5500	3
-0.4150	0.3243	3
-0.3468	0.4604	3
-0.3074	0.4516	3
-0.4294	0.3862	3
0.4034	-0.0168	3
-0.3300	0.3467	3
-0.0648	0.2032	3
-0.3963	0.3857	3
-0.4412	0.2462	3
-0.0024	0.0386	4
0.2993	0.2133	4
0.3130	0.1735	4
0.3885	0.0982	4
-0.0271	0.0699	4
0.1292	0.0840	4
-0.0115	-0.0581	4
0.2419	0.2428	4
0.3227	0.0127	4
-0.0551	0.0390	4
-0.1143	0.0704	4
0.2677	0.0063	4
0.0370	0.0690	4
0.1294	0.0289	4
0.1470	0.0104	4
-0.0251	0.0571	4
