x	y	classId
-0.0161	0.0363	0
-0.0033	-0.0147	0
0.0163	0.0349	0
-0.0236	0.0146	0
-0.0362	0.0415	0
-0.0123	0.0547	0
0.0228	0.0403	0
-0.0077	0.0365	0
0.0279	0.0157	0
-0.0392	0.0321	0
-0.0469	0.0966	0
-0.0252	0.0298	0
0.0451	-0.0256	0
0.0207	0.0253	0
-0.0176	-0.0211	0
0.0552	0.0181	0
0.0260	0.0082	0
-0.0375	0.0236	0
0.0084	-0.0024	0
-0.0113	0.0172	0
-0.0029	-0.0403	0
0.0324	-0.0177	0
0.0502	-0.0254	0
0.0026	-0.0411	0
-0.0010	0.0130	0
0.0341	-0.0023	0
0.0377	0.0283	0
0.0266	-0.0184	0
0.0090	-0.0298	0
-0.0040	0.0435	0
-0.0344	0.0280	0
0.0399	0.0125	0
-0.0406	-0.0296	0
-0.0522	0.0211	0
-0.0213	0.0064	0
0.0031	0.0375	0
0.0290	-0.0290	0
-0.0172	0.0424	0
0.0336	-0.0658	0
-0.0164	-0.0134	0
-0.0325	0.0017	0
0.0313	0.0028	0
-0.0281	0.0286	0
0.0124	0.0058	0
0.0289	-0.0087	0
-0.0204	-0.0262	0
-0.0090	-0.0211	0
-0.0456	0.0864	0
0.0156	0.0203	0
0.0596	-0.0757	0
-0.0089	0.1557	1
-0.0007	0.1842	1
0.0108	0.1371	1
0.0200	0.1990	1
0.0432	0.1754	1
-0.0216	0.1721	1
0.0290	0.1950	1
0.0092	0.1660	1
0.0254	0.1701	1
0.0258	0.1507	1
-0.0047	0.1803	1
0.0007	0.1307	1
0.0273	0.2271	1
0.0090	0.1464	1
0.0090	0.2018	1
0.0549	0.1102	1
0.0386	0.1236	1
0.0268	0.2325	1
0.0240	0.1570	1
0.0161	0.1372	1
0.0028	0.1737	1
0.0219	0.1118	1
-0.0206	0.1581	1
0.0164	0.2187	1
0.0547	0.1240	1
0.0080	0.1941	1
0.0198	0.1656	1
0.0142	0.1574	1
0.0326	0.1209	1
0.0143	0.1755	1
0.0449	0.1493	1
0.0058	0.2003	1
0.0247	0.1841	1
0.0215	0.1292	1
0.0282	0.1213	1
0.0024	0.1526	1
0.0150	0.1915	1
0.0400	0.2324	1
0.0601	0.1172	1
0.0329	0.1690	1
0.0429	0.1168	1
0.0095	0.1782	1
0.0361	0.1373	1
0.0212	0.1478	1
0.0653	0.1442	1
0.0389	0.2159	1
-0.0101	0.1526	1
0.0347	0.1942	1
0.0465	0.1543	1
-0.0034	0.2120	1
-0.1932	0.2273	2
-0.1322	0.2326	2
-0.1070	0.1461	2
-0.1559	0.2351	2
-0.1631	0.2256	2
-0.1204	0.2713	2
-0.1826	0.1874	2
-0.1565	0.2163	2
-0.0891	0.1691	2
-0.1391	0.1920	2
-0.1270	0.2245	2
-0.1738	0.2123	2
-0.1138	0.1823	2
-0.1630	0.1615	2
-0.1398	0.1893	2
-0.1236	0.1907	2
-0.1284	0.1970	2
-0.1252	0.1597	2
-0.1554	0.1921	2
-0.1493	0.1868	2
-0.1221	0.2815	2
-0.1118	0.2300	2
-0.1455	0.1772	2
-0.0873	0.2499	2
-0.1073	0.1731	2
-0.1051	0.1992	2
-0.1520	0.1740	2
-0.2010	0.1991	2
-0.1587	0.2338	2
-0.1142	0.2625	2
-0.0966	0.1989	2
-0.0778	0.2253	2
-0.1406	0.2528	2
-0.1862	0.2057	2
-0.1404	0.1627	2
-0.1083	0.1906	2
-0.1053	0.1833	2
-0.1409	0.1741	2
-0.1485	0.2094	2
-0.1500	0.2633	2
-0.1193	0.2894	2
-0.1623	0.1740	2
-0.1183	0.2206	2
-0.1002	0.2206	2
-0.1143	0.1910	2
-0.1339	0.2193	2
-0.1393	0.2088	2
-0.1659	0.2124	2
-0.1125	0.2051	2
-0.1095	0.2371	2
-0.1457	-0.0229	3
-0.1133	-0.0643	3
-0.1774	-0.0197	3
-0.1909	-0.0311	3
-0.2072	-0.0433	3
-0.0297	0.2259	3
-0.2507	-0.0392	3
-0.2354	-0.0096	3
-0.2173	-0.0091	3
-0.3028	-0.0350	3
-0.1680	-0.0269	3
-0.2150	-0.0475	3
-0.1804	-0.0535	3
-0.1279	-0.0004	3
-0.1328	-0.0514	3
-0.2203	-0.0243	3
-0.1934	-0.0201	3
-0.2416	-0.0457	3
-0.2540	-0.0503	3
-0.1666	-0.0428	3
-0.1320	-0.0111	3
-0.1846	-0.0334	3
-0.1604	-0.0192	3
-0.1257	-0.0225	3
-0.1448	0.0053	3
-0.0626	0.2390	3
-0.1945	-0.0177	3
-0.1733	-0.0487	3
-0.1901	-0.0654	3
-0.2120	-0.0151	3
-0.1816	-0.0320	3
-0.2479	-0.0320	3
-0.2224	-0.0393	3
-0.1897	-0.0006	3
-0.2877	0.0125	3
-0.1889	-0.0411	3
-0.2047	-0.0218	3
-0.1490	-0.0443	3
-0.2128	-0.0569	3
-0.2713	-0.0192	3
-0.2495	-0.0145	3
-0.2759	-0.0245	3
-0.0717	0.2417	3
-0.2263	-0.0534	3
-0.0737	0.2926	3
-0.1347	0.0125	3
-0.1546	-0.0120	3
-0.1708	-0.0203	3
-0.2443	-0.0533	3
-0.1823	-0.0205	3
-0.1873	0.0550	4
-0.2343	0.1031	4
-0.2358	0.1061	4
-0.1354	0.1172	4
-0.1770	0.0964	4
-0.2405	0.0841	4
-0.2054	0.0504	4
-0.1313	0.1055	4
-0.1464	0.0995	4
-0.1880	0.0879	4
-0.1918	0.0823	4
-0.1713	0.1006	4
-0.1340	0.0747	4
-0.1763	0.0862	4
-0.1619	0.0823	4
-0.2077	0.0792	4
-0.1823	0.0670	4
-0.2382	0.0521	4
-0.1521	0.0596	4
-0.1637	0.0560	4
-0.1543	0.0873	4
-0.1709	0.0841	4
-0.1676	0.0715	4
-0.1295	0.0797	4
-0.2162	0.1145	4
-0.1875	0.1232	4
-0.2229	0.1001	4
-0.2006	0.0649	4
-0.1500	0.0556	4
-0.1905	0.0750	4
-0.1840	0.0833	4
-0.1849	0.1031	4
-0.2080	0.1204	4
-0.1757	0.0628	4
-0.1576	0.0648	4
-0.1395	0.0756	4
-0.2059	0.0873	4
-0.1854	0.0919	4
-0.2257	0.0854	4
-0.2093	0.1333	4
-0.2307	0.1217	4
-0.1413	0.0606	4
-0.2484	0.0981	4
-0.2165	0.0688	4
-0.1239	0.0786	4
-0.2428	0.0807	4
-0.2211	0.0931	4
-0.1627	0.0686	4
-0.2047	0.0799	4
-0.1897	0.0649	4
0.1714	-0.0385	5
0.1588	-0.0786	5
0.1688	-0.0756	5
0.1906	-0.1001	5
0.1550	-0.0478	5
0.1288	-0.0547	5
0.1731	-0.0953	5
0.1295	-0.0403	5
0.1409	-0.0669	5
0.1211	-0.0786	5
0.1785	-0.1026	5
0.1293	-0.0374	5
0.1712	-0.0711	5
0.2485	-0.1230	5
0.1665	-0.0600	5
0.2915	-0.1062	5
0.1198	-0.0422	5
0.2199	-0.0927	5
0.1345	-0.0240	5
0.2731	-0.1176	5
0.1636	-0.0774	5
0.2048	-0.0793	5
0.1667	-0.0750	5
0.1667	-0.0859	5
0.2195	-0.1116	5
0.1511	-0.0623	5
0.1532	-0.0393	5
0.2037	-0.0634	5
0.2151	-0.0761	5
0.1882	-0.0826	5
0.1371	-0.0463	5
0.1751	-0.0774	5
0.2217	-0.0908	5
0.1504	-0.0674	5
0.1540	-0.0596	5
0.2204	-0.1274	5
0.2387	-0.0953	5
0.1442	-0.0697	5
0.2105	-0.0980	5
0.1346	-0.0500	5
0.1359	-0.0674	5
0.1858	-0.1047	5
0.1912	-0.0812	5
0.1482	-0.0371	5
0.2088	-0.1075	5
0.2751	-0.1377	5
0.2019	-0.0783	5
0.1798	-0.0649	5
0.2410	-0.0832	5
0.1999	-0.0968	5
0.0017	-0.1629	6
-0.0170	-0.1655	6
-0.0176	-0.2135	6
-0.0707	-0.2613	6
-0.0538	-0.2287	6
0.0019	-0.2147	6
0.0108	-0.1786	6
0.0128	-0.1283	6
-0.0713	-0.2237	6
-0.0206	-0.1301	6
-0.0176	-0.2247	6
-0.0410	-0.2232	6
-0.0724	-0.1859	6
-0.0598	-0.2584	6
-0.0352	-0.1270	6
-0.0114	-0.1973	6
-0.0522	-0.2083	6
-0.0159	-0.1145	6
-0.0580	-0.2147	6
-0.0152	-0.2245	6
-0.0674	-0.2388	6
-0.0707	-0.1969	6
-0.0127	-0.2130	6
-0.0063	-0.2020	6
0.0024	-0.1283	6
-0.0243	-0.1739	6
-0.0579	-0.2339	6
-0.0355	-0.2374	6
-0.0382	-0.1161	6
-0.0254	-0.2261	6
-0.0637	-0.2602	6
-0.0193	-0.1513	6
-0.0122	-0.1581	6
-0.0071	-0.1165	6
-0.0024	-0.1407	6
-0.0116	-0.1552	6
-0.0531	-0.1379	6
-0.0604	-0.1977	6
-0.0095	-0.1945	6
-0.0644	-0.2116	6
-0.0303	-0.2306	6
-0.0327	-0.2543	6
-0.0345	-0.1169	6
0.0025	-0.2083	6
-0.0167	-0.2040	6
-0.0647	-0.2530	6
-0.0233	-0.2333	6
-0.0248	-0.1681	6
-0.0508	-0.1926	6
-0.0408	-0.1529	6
0.1774	0.1598	7
0.1764	0.1465	7
0.1567	0.1419	7
0.1411	0.1968	7
0.1353	0.1611	7
0.1449	0.2139	7
0.1319	0.1423	7
0.1476	0.1714	7
0.1118	0.2817	7
0.1352	0.1324	7
0.1487	0.1902	7
0.1221	0.2188	7
0.1272	0.2149	7
0.1389	0.2403	7
0.1282	0.1799	7
0.1116	0.1680	7
0.1387	0.2170	7
0.1397	0.1577	7
0.1464	0.1570	7
0.1644	0.1776	7
0.0932	0.2378	7
0.1161	0.2308	7
0.1366	0.1668	7
0.1034	0.2073	7
0.1526	0.1687	7
0.1368	0.1841	7
0.1392	0.1519	7
0.1596	0.2360	7
0.1409	0.1941	7
0.1122	0.1514	7
0.1339	0.0686	7
0.1559	0.1994	7
0.1517	0.1785	7
0.1580	0.2234	7
0.1637	0.2318	7
0.1641	0.2018	7
0.1079	0.2728	7
0.1179	0.2043	7
0.1418	0.1610	7
0.1208	0.1584	7
0.1284	0.1942	7
0.0875	0.1916	7
0.1552	0.1319	7
0.1125	0.2226	7
0.1431	0.1926	7
-0.2344	-0.0876	7
0.1029	0.2821	7
0.1155	0.2081	7
0.0996	0.1962	7
0.1757	0.1728	7
-0.0956	-0.1697	8
-0.1330	-0.2102	8
-0.1551	-0.2008	8
-0.2059	-0.1756	8
-0.1460	-0.1569	8
-0.1789	-0.1776	8
-0.1346	-0.1416	8
-0.1028	-0.1215	8
-0.1215	-0.1501	8
-0.1433	-0.1419	8
-0.1374	-0.1744	8
-0.1233	-0.1330	8
-0.1674	-0.1739	8
-0.1256	-0.1500	8
-0.1597	-0.1521	8
-0.1154	-0.1468	8
-0.1152	-0.1668	8
-0.1492	-0.1733	8
-0.0859	-0.1342	8
-0.1283	-0.1874	8
-0.1025	-0.1374	8
-0.1902	-0.1977	8
-0.1881	-0.1937	8
-0.1138	-0.1917	8
-0.1181	-0.1762	8
-0.1994	-0.2042	8
-0.2527	-0.1607	8
-0.1590	-0.2238	8
-0.1586	-0.1387	8
-0.1166	-0.1628	8
-0.2432	-0.1785	8
-0.1823	-0.1688	8
-0.1395	-0.1969	8
-0.1516	-0.1694	8
-0.1662	-0.1707	8
-0.2296	-0.1745	8
-0.0579	-0.1573	8
-0.1297	-0.1619	8
-0.2039	-0.1508	8
-0.1228	-0.1232	8
-0.0982	-0.1438	8
-0.2127	-0.1618	8
-0.1865	-0.1428	8
-0.2577	-0.1987	8
-0.0765	-0.1054	8
-0.1286	-0.1799	8
-0.1580	-0.1989	8
-0.1294	-0.1367	8
-0.2039	-0.1408	8
-0.1366	-0.2315	8
0.1272	-0.2608	9
0.1389	-0.2155	9
