x	y	classId
0.7776	-0.5761	0
0.9169	-0.1242	0
0.7843	-0.4108	0
0.8367	-0.4528	0
0.8278	-0.2635	0
0.8781	0.0180	0
0.8826	-0.0639	0
0.8286	-0.1012	0
0.8026	-0.3278	0
0.8947	-0.3008	0
0.8437	-0.0304	0
0.8263	-0.4671	0
0.8700	-0.0790	0
0.9044	-0.1402	0
0.8616	-0.2362	0
0.8862	0.0814	0
0.8984	0.0128	0
0.8908	-0.2894	0
0.8977	-0.2085	0
0.7706	-0.3393	0
0.9184	-0.0727	0
0.9005	-0.2789	0
0.8233	-0.2422	0
0.8813	-0.2151	0
0.9492	-0.0795	0
0.8859	-0.1920	0
0.8445	-0.3241	0
0.8247	-0.1882	0
0.8923	-0.3900	0
0.7264	-0.3975	0
0.8197	-0.2256	0
0.8853	0.0402	0
0.8602	-0.3834	0
0.8455	-0.1674	0
0.7973	-0.3801	0
0.7979	-0.5046	0
0.8960	-0.2600	0
0.8448	-0.0918	0
0.9506	-0.2405	0
0.8456	-0.4021	0
0.8468	-0.4103	0
0.8251	-0.3079	0
0.8164	-0.2488	0
0.7396	-0.2703	0
0.9167	-0.0130	0
0.8446	-0.4343	0
0.8771	-0.1914	0
0.8733	-0.0445	0
0.8882	-0.0098	0
0.9749	-0.1249	0
0.4193	-0.6812	1
0.4613	-0.5889	1
0.4298	-0.5917	1
0.4093	-0.6840	1
0.4746	-0.6443	1
0.4285	-0.6623	1
0.3980	-0.6404	1
0.4332	-0.6057	1
0.3927	-0.6363	1
0.6005	-0.6844	1
0.4181	-0.6615	1
0.4090	-0.6056	1
0.3613	-0.7201	1
0.4301	-0.7145	1
0.4145	-0.6513	1
0.5657	-0.6668	1
0.3452	-0.6049	1
0.4635	-0.6875	1
0.4408	-0.6092	1
0.4100	-0.5830	1
0.4574	-0.5999	1
0.5217	-0.7336	1
0.4739	-0.6869	1
0.3849	-0.6383	1
0.5669	-0.6925	1
0.3995	-0.6201	1
0.4858	-0.5853	1
0.3943	-0.6960	1
0.4534	-0.6534	1
0.4015	-0.6974	1
0.4218	-0.6273	1
0.3894	-0.6898	1
0.3939	-0.6011	1
0.3593	-0.5922	1
0.4984	-0.6133	1
0.4386	-0.5922	1
0.4329	-0.6931	1
0.4459	-0.6904	1
0.3449	-0.6197	1
0.4464	-0.5841	1
0.4411	-0.7961	1
0.4315	-0.6357	1
0.5109	-0.7745	1
0.4188	-0.6014	1
0.5033	-0.6695	1
0.4005	-0.6773	1
0.4652	-0.6473	1
0.4538	-0.6324	1
0.4609	-0.6316	1
0.4711	-0.6799	1
-0.1309	0.6668	2
-0.1354	0.6956	2
-0.1013	0.6037	2
-0.1341	0.5784	2
-0.1212	0.5385	2
-0.1091	0.6906	2
-0.0988	0.6743	2
-0.1838	0.4596	2
-0.0537	0.5625	2
-0.0566	0.5371	2
-0.1142	0.6067	2
-0.1547	0.7040	2
-0.0904	0.7278	2
0.1956	0.3828	2
-0.1106	0.4946	2
-0.1129	0.5370	2
-0.1119	0.6660	2
-0.1186	0.6729	2
0.0710	0.4981	2
-0.0416	0.6982	2
-0.2008	0.5356	2
-0.1546	0.5036	2
-0.0949	0.5500	2
0.1540	0.5416	2
-0.0766	0.5151	2
-0.0673	0.5668	2
-0.0352	0.6158	2
-0.1243	0.6194	2
-0.1726	0.5730	2
-0.1487	0.6849	2
0.0258	0.4506	2
-0.1279	0.7280	2
-0.1333	0.6873	2
-0.0595	0.5945	2
-0.1153	0.6446	2
-0.0595	0.6437	2
-0.0303	0.6011	2
-0.1060	0.5657	2
-0.0972	0.6281	2
-0.2558	0.7329	2
-0.2072	0.6424	2
-0.0922	0.6527	2
-0.1978	0.4957	2
-0.1245	0.7437	2
-0.0728	0.6359	2
-0.0610	0.6234	2
-0.0821	0.5607	2
-0.2077	0.6933	2
-0.1975	0.5785	2
-0.1540	0.7744	2
0.4744	0.0590	3
0.3795	-0.1529	3
0.4186	-0.1486	3
0.5402	0.0289	3
0.3725	0.0217	3
0.4275	-0.0541	3
0.4342	0.2071	3
0.4047	0.0674	3
0.2898	-0.0951	3
0.2737	-0.0008	3
0.5385	0.0516	3
0.3859	-0.0607	3
0.3713	0.0441	3
0.4870	-0.3340	3
0.2299	0.0104	3
0.4896	0.0045	3
0.4516	0.1500	3
0.4265	0.1613	3
0.3313	0.0523	3
0.3902	0.1392	3
0.5990	0.0254	3
0.4953	0.0903	3
0.4055	-0.0034	3
0.4462	-0.0520	3
0.3704	0.0625	3
0.3756	-0.1004	3
0.4872	-0.0012	3
0.5718	0.0094	3
0.5286	0.0858	3
0.2757	-0.1584	3
0.5908	0.0633	3
0.3672	0.0348	3
0.5279	-0.1499	3
0.3622	-0.3067	3
0.2977	0.0582	3
0.0827	-0.0858	3
0.3106	-0.0307	3
0.4427	-0.0106	3
0.5561	0.0492	3
0.2850	-0.0139	3
0.4200	0.1281	3
0.3924	0.1517	3
0.3763	-0.0016	3
0.3843	0.1182	3
0.3823	-0.0387	3
0.5364	-0.4063	3
0.4646	0.0774	3
0.5133	0.1183	3
0.3628	-0.0482	3
0.3701	-0.0831	3
0.2670	0.7321	4
0.0683	0.8983	4
0.1856	0.8664	4
0.0844	0.9100	4
0.2176	0.8446	4
0.2010	0.8123	4
0.1932	0.7022	4
0.2876	0.8452	4
0.1507	0.8396	4
0.2670	0.8279	4
0.2651	0.8021	4
0.2220	0.6910	4
0.3102	0.8094	4
0.1406	0.8872	4
0.1143	0.8902	4
0.2755	0.8184	4
0.1890	0.8003	4
0.1647	0.8518	4
0.2427	0.7306	4
0.1911	0.7571	4
0.2201	0.8469	4
0.1284	0.9082	4
0.3705	0.7664	4
0.1819	0.7850	4
0.0605	0.9555	4
0.0393	0.9619	4
0.1517	0.8926	4
0.2301	0.7824	4
0.3231	0.7421	4
0.3494	0.7890	4
0.2521	0.8172	4
0.0786	0.9556	4
0.0744	0.9587	4
0.3295	0.7634	4
0.2355	0.7608	4
0.3104	0.7692	4
0.2083	0.8509	4
0.1233	0.8408	4
0.2209	0.8396	4
-0.0299	0.9453	4
0.1510	0.8721	4
0.3537	0.7426	4
0.2387	0.8592	4
0.2936	0.7722	4
0.2936	0.8085	4
0.1429	0.8640	4
0.1945	0.8328	4
0.2172	0.7781	4
0.2570	0.8302	4
0.3506	0.7644	4
-0.7619	0.0696	5
-0.7931	0.0088	5
-0.8306	0.0882	5
-0.7996	0.0430	5
-0.8165	-0.0626	5
-0.8753	0.1923	5
-0.8104	0.0421	5
-0.8404	0.1637	5
-0.8221	0.0177	5
-0.8912	0.1272	5
-0.8404	0.1143	5
-0.8401	-0.0231	5
-0.8233	0.0144	5
-0.8467	0.0672	5
-0.8470	0.1109	5
-0.8588	0.0177	5
-0.8481	-0.0502	5
-0.8444	0.1309	5
-0.8728	-0.0437	5
-0.8083	0.1221	5
-0.8286	0.0310	5
-0.8199	0.0770	5
-0.8538	0.0634	5
-0.8032	0.0400	5
-0.7938	0.0374	5
-0.8453	0.1032	5
-0.8053	0.1104	5
-0.8011	-0.0152	5
-0.8117	0.0813	5
-0.7894	0.0892	5
-0.8629	0.2035	5
-0.7974	0.0069	5
-0.7802	0.0226	5
-0.8397	0.0237	5
-0.8803	0.1338	5
-0.8723	0.0863	5
-0.7897	0.0646	5
-0.8628	0.0653	5
-0.8624	0.1067	5
-0.8615	-0.0045	5
-0.8526	0.0110	5
-0.7603	-0.0016	5
-0.8281	0.0695	5
-0.8519	-0.0199	5
-0.7978	0.0293	5
