x	y	classId
-0.1441	0.2107	0
0.1845	-0.2283	0
-0.2484	-0.2761	0
-0.1195	-0.4051	0
-0.0686	-0.2840	0
0.0286	-0.1807	0
-0.0377	-0.2147	0
0.0173	-0.4199	0
-0.2090	-0.2640	0
-0.0602	-0.3713	0
-0.0139	-0.1072	0
-0.1796	0.1331	0
0.1058	-0.4629	0
0.1665	-0.1468	0
-0.0902	-0.4068	0
0.0148	-0.2623	0
0.1714	-0.3150	0
-0.0398	-0.5170	0
0.1181	-0.3597	0
-0.0860	0.0796	0
0.1989	-0.1270	0
0.0965	-0.2483	0
0.0183	-0.3918	0
-0.1108	-0.4489	0
0.1190	-0.0778	0
0.1017	-0.0671	0
0.1573	-0.0483	0
0.0822	-0.5526	0
-0.2025	-0.5740	0
-0.0816	-0.1454	0
-0.0776	-0.3005	0
0.0270	-0.4834	0
-0.1353	-0.5338	0
0.1922	-0.0640	0
-0.0753	-0.2404	0
-0.2482	-0.3041	0
-0.1078	-0.6406	0
0.1461	-0.3126	0
-0.3203	-0.3401	0
-0.1555	-0.4770	0
-0.0570	-0.4760	0
-0.2409	-0.2375	0
-0.0754	-0.3409	0
-0.2649	-0.1733	0
-0.2399	-0.1326	0
-0.1655	-0.4587	0
-0.0841	-0.4347	0
-0.0352	-0.0607	0
-0.0575	-0.1764	0
-0.4751	-0.1613	0
-0.2636	0.8438	1
-0.0640	0.8114	1
-0.1360	0.8487	1
-0.2269	0.8399	1
-0.1249	0.9219	1
-0.1539	0.7277	1
-0.1820	0.8916	1
-0.1206	0.8194	1
-0.0350	0.6984	1
0.1356	-0.5407	1
-0.2519	0.8196	1
-0.1610	0.7822	1
-0.3391	0.3837	1
-0.2134	0.7186	1
-0.1735	0.8422	1
0.1341	-0.4480	1
-0.3438	0.8037	1
-0.2566	0.4203	1
-0.1575	0.8383	1
-0.1178	0.7933	1
-0.1474	0.8772	1
0.1479	-0.6040	1
-0.1892	0.4205	1
-0.1798	0.6470	1
-0.0009	-0.0557	1
-0.2812	0.7590	1
-0.1345	0.7467	1
-0.2866	0.8697	1
-0.2014	0.8150	1
-0.2784	0.8678	1
-0.2444	0.7298	1
-0.2916	0.8619	1
-0.2221	0.8030	1
-0.3258	0.8092	1
-0.2078	0.7431	1
-0.1275	0.8529	1
-0.2411	0.8778	1
-0.2760	0.7300	1
-0.3491	0.7670	1
-0.1130	0.8352	1
0.0676	-0.6273	1
-0.2428	0.8426	1
-0.1799	-0.1875	1
-0.1427	0.8395	1
-0.2977	0.4447	1
-0.2441	0.6603	1
-0.1735	0.7426	1
-0.1365	0.7924	1
-0.1035	0.9152	1
-0.1780	0.4200	1
0.8306	0.2831	2
0.8221	0.2595	2
0.7236	0.2546	2
0.8944	0.1006	2
0.8702	0.1596	2
0.7029	0.0655	2
0.8046	0.2139	2
0.6302	0.0516	2
0.7227	0.3305	2
0.7678	0.2488	2
0.8232	0.3151	2
0.9057	-0.0983	2
0.8576	-0.0836	2
0.5740	-0.5353	2
0.7385	0.3511	2
0.7489	0.3414	2
0.7939	-0.1027	2
0.8105	0.1792	2
0.8026	-0.2282	2
0.8135	-0.1233	2
0.7420	0.4781	2
0.8284	-0.0130	2
0.7829	0.0799	2
0.5235	0.4883	2
0.7646	0.1513	2
0.8057	0.2770	2
0.7661	0.0950	2
0.7657	0.1642	2
0.9274	0.0313	2
0.8670	0.2496	2
0.8613	-0.1576	2
0.6990	0.2718	2
0.7772	0.0279	2
0.8357	0.1135	2
0.8120	0.1704	2
0.7215	0.1400	2
0.7253	0.0530	2
0.8349	0.1422	2
0.7722	0.3102	2
0.8968	0.1862	2
0.9276	0.0050	2
0.7749	0.1904	2
0.8706	-0.0047	2
0.6963	0.4532	2
0.7870	0.1327	2
0.7703	0.3007	2
0.8072	0.2587	2
0.8803	0.0377	2
0.8955	-0.0209	2
0.7668	0.3801	2
0.7834	-0.4296	3
0.4136	-0.6653	3
0.4954	-0.5707	3
0.2781	-0.5962	3
0.4234	-0.7936	3
0.6525	0.4362	3
0.6613	-0.6074	3
0.5475	-0.6759	3
-0.0225	0.1657	3
0.4142	-0.7589	3
0.2990	-0.6308	3
0.4869	-0.6699	3
0.6786	-0.5655	3
-0.1031	0.5783	3
0.2764	-0.8328	3
0.3048	-0.6669	3
0.7382	-0.4606	3
0.6539	-0.6024	3
0.4810	-0.7521	3
0.6390	-0.5860	3
0.2521	-0.5882	3
0.2977	-0.7654	3
0.5224	-0.6823	3
0.1197	0.1269	3
0.4787	0.3664	3
0.5115	-0.6453	3
0.2973	-0.6450	3
0.2455	-0.7386	3
0.2888	-0.7493	3
0.3544	-0.7744	3
0.2588	-0.6418	3
0.5370	-0.6470	3
-0.2974	0.3013	3
-0.1366	0.6081	3
0.4535	-0.1827	3
0.2007	-0.7891	3
0.6444	0.4159	3
0.7209	-0.4888	3
0.6448	0.3422	3
0.3853	-0.7745	3
0.8239	-0.3350	3
0.5832	-0.6768	3
0.5385	-0.6002	3
0.6921	-0.5151	3
0.5980	-0.6613	3
-0.1544	0.5382	3
0.6969	-0.4878	3
0.2958	-0.5389	3
0.6196	-0.6301	3
0.4885	-0.6960	3
0.2468	0.2230	4
0.2098	0.4684	4
0.1791	0.4550	4
0.1480	0.5974	4
0.3751	0.2241	4
0.3392	0.3630	4
0.2895	-0.0540	4
0.2660	0.3674	4
-0.0024	0.3232	4
0.4044	0.1376	4
0.3768	0.1058	4
-0.0746	0.2970	4
0.4500	0.1668	4
0.2779	0.3759	4
0.3005	0.4181	4
0.3754	0.1446	4
0.1963	0.2384	4
0.1500	0.2736	4
0.1899	0.1746	4
0.2765	0.2083	4
0.4054	0.2385	4
0.1784	0.5175	4
0.4782	0.0507	4
0.4217	0.2477	4
0.1356	0.7295	4
0.0952	0.7865	4
0.3016	0.3918	4
0.0350	0.3280	4
0.4846	0.2419	4
0.5097	0.0992	4
0.3535	0.1156	4
0.2315	0.5781	4
0.1518	0.6768	4
0.4716	0.1773	4
0.3648	0.1771	4
0.4833	0.0968	4
0.3366	0.2020	4
0.1037	0.3094	4
0.3655	0.2056	4
0.1192	0.6271	4
0.3743	0.3554	4
0.2849	0.0602	4
0.4018	0.2865	4
0.3954	0.0693	4
0.4502	0.1240	4
0.2514	0.3157	4
0.2127	0.3814	4
0.3170	0.2399	4
0.4227	0.1611	4
0.4817	0.0610	4
-0.5835	0.5905	5
-0.8451	0.1055	5
-0.8392	-0.1212	5
-0.8353	0.0621	5
-0.5797	0.4999	5
-0.4652	-0.2526	5
-0.8258	0.0758	5
-0.6581	-0.1311	5
-0.7259	0.2031	5
-0.5787	-0.2105	5
-0.7473	-0.1213	5
-0.5738	0.4519	5
-0.7296	0.2298	5
-0.8465	-0.2114	5
-0.7915	-0.1208	5
-0.8907	0.0041	5
-0.6091	0.4454	5
-0.7854	-0.1752	5
-0.6037	0.4679	5
-0.6964	0.0451	5
-0.7604	0.1998	5
-0.7178	0.1944	5
-0.8442	-0.1647	5
-0.8278	0.0545	5
-0.8055	0.0633	5
-0.7479	-0.1632	5
-0.6791	-0.0616	5
-0.7844	-0.0821	5
-0.7589	0.1747	5
-0.6956	-0.1595	5
-0.4670	-0.2470	5
-0.8338	0.1056	5
-0.7339	0.1433	5
-0.6600	0.3435	5
-0.6118	-0.2364	5
-0.7248	-0.1854	5
-0.8739	-0.1927	5
-0.7938	-0.2079	5
-0.8008	-0.1625	5
-0.6076	0.5454	5
-0.6517	0.3523	5
-0.8404	-0.2352	5
-0.7515	0.1592	5
-0.6553	0.4347	5
-0.8058	0.0986	5
-0.8650	-0.0898	5
-0.7151	0.2173	5
-0.7267	0.2408	5
-0.9240	-0.1236	5
-0.8214	-0.1327	5
0.6844	-0.3312	6
0.4513	-0.4700	6
0.7512	-0.2727	6
0.7504	-0.2542	6
0.4170	-0.3087	6
0.6535	-0.4163	6
0.5726	-0.2107	6
0.5380	-0.1578	6
0.7355	-0.1442	6
0.5215	-0.3884	6
0.6144	-0.2457	6
0.5077	-0.4607	6
0.4243	-0.0821	6
0.6769	-0.1590	6
0.6422	-0.4524	6
0.6801	-0.2879	6
0.5689	-0.4009	6
0.3794	-0.3188	6
0.6320	-0.1559	6
0.7437	-0.3038	6
0.4332	-0.2833	6
0.4261	-0.5390	6
0.6557	-0.2427	6
0.6733	-0.2965	6
0.2514	-0.1989	6
0.7058	-0.3647	6
0.5437	-0.3813	6
0.1977	0.3456	6
0.4857	-0.4488	6
0.5499	-0.2272	6
0.6695	-0.2192	6
0.4574	-0.7255	6
0.4026	-0.4398	6
0.4309	-0.4930	6
0.2471	-0.3251	6
0.6629	-0.2743	6
0.4961	-0.4022	6
0.5112	-0.3801	6
0.5779	-0.2095	6
0.5496	-0.4298	6
0.5560	-0.2176	6
0.6248	-0.2802	6
0.6220	-0.5153	6
0.6217	-0.3311	6
0.6334	-0.2388	6
0.7081	-0.1517	6
0.5929	-0.2281	6
0.6464	-0.3312	6
0.6222	-0.4771	6
0.5984	-0.4594	6
0.1515	0.8282	7
0.4417	0.6298	7
0.3229	0.7526	7
0.4934	0.7003	7
0.5900	0.6919	7
0.1259	0.8708	7
0.5066	0.6670	7
0.3170	0.7296	7
0.0675	0.8632	7
0.2928	0.7426	7
0.6032	0.6819	7
0.5275	0.6170	7
0.3073	0.8365	7
0.3968	0.8005	7
0.4775	0.7906	7
0.6039	0.6433	7
0.4114	0.6716	7
0.5651	0.7070	7
0.4695	0.7656	7
0.5200	0.7074	7
0.2321	0.8279	7
0.2836	0.7962	7
0.5508	0.7278	7
0.4319	0.7453	7
0.5334	0.7637	7
0.3899	0.7400	7
0.3585	0.7465	7
0.2186	0.8062	7
0.3642	0.7806	7
0.6242	0.6726	7
-0.2145	0.3442	7
0.5312	0.6973	7
0.5169	0.7420	7
0.3763	0.7646	7
0.2224	0.7916	7
0.4016	0.7298	7
0.0976	0.8882	7
0.4052	0.8082	7
0.5785	0.7188	7
0.4212	0.7683	7
0.5708	0.6818	7
0.3712	0.5736	7
0.4577	0.7358	7
0.6225	0.6487	7
0.4168	0.7933	7
0.3510	0.7874	7
0.1502	0.8959	7
0.5977	0.6543	7
0.3903	0.7613	7
0.1519	0.8442	7
-0.3029	-0.7368	8
-0.5801	0.0575	8
-0.0810	-0.8524	8
-0.2732	-0.8912	8
-0.3618	0.0199	8
0.1189	-0.8227	8
-0.5884	0.1372	8
-0.1324	-0.7721	8
0.0162	-0.8112	8
-0.1715	-0.7856	8
-0.2892	-0.8440	8
-0.8879	0.0755	8
-0.1216	-0.8985	8
0.0318	-0.7836	8
0.0489	-0.7908	8
-0.8721	-0.0227	8
-0.2090	-0.7523	8
-0.3444	-0.0225	8
-0.1871	-0.8021	8
-0.2479	-0.8035	8
-0.2981	-0.6324	8
-0.0994	-0.9017	8
0.0136	-0.9064	8
-0.2645	-0.7721	8
-0.2937	-0.7269	8
-0.0361	-0.8821	8
-0.0250	-0.7888	8
-0.3624	-0.6979	8
-0.1849	-0.7587	8
-0.0118	-0.8577	8
0.0154	-0.8423	8
0.1689	-0.8336	8
-0.2691	-0.7940	8
-0.3646	-0.1019	8
