x	y	classId
-0.1309	0.6389	0
-0.0205	-0.4694	0
-0.4352	0.0911	0
0.2457	-0.0496	0
0.3225	0.0636	0
0.1715	0.3291	0
0.3004	0.2681	0
0.2644	-0.0126	0
-0.5400	0.0081	0
0.0651	0.2233	0
0.4421	0.0759	0
0.2048	-0.1301	0
0.0479	0.0976	0
-0.1058	0.3158	0
0.2946	-0.0307	0
0.1968	0.2174	0
0.1508	0.1888	0
0.0376	0.2772	0
0.2361	-0.4030	0
0.0239	0.4036	0
0.0566	-0.3363	0
-0.1088	0.2707	0
-0.2332	0.0081	0
0.0457	-0.0342	0
0.1203	0.1947	0
-0.2264	0.3276	0
-0.0908	0.3473	0
0.1447	0.0422	0
0.0739	-0.1785	0
0.0555	0.3758	0
0.3685	0.0438	0
-0.2195	0.0925	0
0.2626	-0.0925	0
-0.0829	0.4121	0
0.0814	0.3796	0
-0.4831	-0.0391	0
0.2194	-0.0677	0
0.2003	0.2328	0
-0.5269	-0.0710	0
0.4559	-0.1156	0
0.2685	-0.1509	0
-0.5933	0.0973	0
0.3013	0.0446	0
-0.3813	0.0515	0
-0.2171	-0.2496	0
0.4286	-0.0712	0
0.1019	-0.0462	0
0.0172	0.2368	0
0.2184	0.1584	0
-0.6236	-0.0129	0
-0.4780	0.4659	1
-0.4407	0.3845	1
-0.6163	0.4286	1
-0.5388	0.4954	1
-0.3522	0.4933	1
-0.2633	0.2998	1
-0.4474	0.0158	1
-0.6101	0.4114	1
-0.8664	0.4732	1
-0.0112	-0.2659	1
-0.5272	0.5614	1
-0.5866	0.4561	1
-0.7573	0.2421	1
-0.3252	0.2080	1
-0.4937	0.4210	1
-0.1860	-0.0094	1
-0.7501	0.3688	1
-0.7248	0.2430	1
-0.6913	0.4043	1
-0.3998	0.4570	1
-0.7136	0.3764	1
0.0649	-0.2444	1
-0.5454	0.1127	1
-0.5121	0.1445	1
-0.4011	-0.0543	1
-0.7656	0.4598	1
-0.3887	0.2541	1
-0.5384	0.5596	1
-0.6382	0.5083	1
-0.5289	0.5228	1
-0.7369	0.5267	1
-0.5650	0.4766	1
-0.3980	0.3043	1
-0.7695	0.3050	1
-0.4058	0.2011	1
-0.7075	0.4285	1
-0.4930	0.5064	1
-0.2755	0.0844	1
-0.8334	0.3623	1
-0.5825	0.3233	1
0.0158	-0.2320	1
-0.6187	0.5226	1
-0.1554	-0.3503	1
-0.6150	0.3755	1
-0.7417	0.1513	1
-0.2772	-0.2558	1
-0.5638	0.3727	1
-0.3741	0.1644	1
-0.4797	0.1996	1
-0.5887	0.2340	1
0.5587	0.5595	2
0.5670	0.6298	2
0.3825	0.4287	2
0.3346	0.4619	2
0.7031	0.4474	2
0.6913	0.4547	2
0.5494	0.5465	2
0.5066	0.2900	2
0.6016	0.4434	2
0.7166	0.4188	2
0.6208	0.5122	2
0.5352	0.3302	2
0.6231	0.3498	2
0.6784	0.0491	2
0.4840	0.3344	2
0.6634	0.4577	2
0.5026	0.3703	2
0.4550	0.5722	2
0.4088	0.2405	2
0.3886	0.3203	2
0.9157	0.2273	2
0.6352	0.3736	2
0.4360	0.4667	2
0.4803	0.4228	2
0.6786	0.4008	2
0.6362	0.4328	2
0.4763	0.4580	2
0.5615	0.4966	2
0.4326	0.3173	2
0.4037	0.5633	2
0.7293	0.1829	2
0.3702	0.5063	2
0.1662	0.6641	2
0.4286	0.4216	2
0.4257	0.5310	2
0.5065	0.5279	2
0.6781	0.3702	2
0.5101	0.5047	2
0.4650	0.5931	2
0.4685	0.6693	2
0.4893	0.5810	2
0.4439	0.5624	2
0.4640	0.3082	2
0.2126	0.7985	2
0.5358	0.4905	2
0.5200	0.5609	2
0.6001	0.4050	2
0.4813	0.3609	2
0.6537	0.2644	2
0.3803	0.5440	2
0.7590	0.1137	3
0.7084	0.0595	3
0.6339	-0.0779	3
0.2289	0.3682	3
0.6276	0.0443	3
0.8857	0.4213	3
0.5155	0.1448	3
0.6065	-0.0000	3
0.4490	0.6647	3
0.6024	0.0614	3
0.1656	0.4777	3
0.4855	-0.0081	3
0.8102	0.1950	3
-0.0342	0.1408	3
0.6621	-0.0727	3
0.1416	0.4417	3
0.7491	0.2322	3
0.5758	0.2244	3
0.6367	0.0868	3
0.5344	0.1676	3
0.3255	0.1211	3
0.1511	-0.0007	3
0.5530	0.0568	3
0.0929	0.5797	3
-0.1191	0.5060	3
0.6196	0.1251	3
0.1289	0.4231	3
0.1625	0.0779	3
0.1054	0.0631	3
-0.3843	0.3588	3
0.3706	0.1315	3
0.6894	0.1063	3
0.8510	0.1102	3
-0.0543	-0.0868	3
0.6656	0.1510	3
0.7877	-0.0139	3
0.8695	0.3050	3
0.4822	0.1812	3
0.7487	0.1520	3
0.5545	-0.0719	3
0.7055	0.2278	3
0.5675	0.1176	3
0.8056	0.1381	3
0.7682	0.2777	3
0.6363	0.2680	3
-0.0790	0.0877	3
0.6231	0.2336	3
0.1612	0.4422	3
0.6412	0.3198	3
0.6628	0.0382	3
0.0702	-0.3199	4
0.2371	0.7691	4
0.5516	0.3509	4
0.1606	0.7556	4
0.1433	-0.2488	4
-0.5654	0.1993	4
0.4911	-0.5514	4
-0.4881	0.2833	4
0.4416	0.8426	4
0.3289	-0.3213	4
-0.2844	0.0174	4
-0.3244	0.0786	4
-0.2810	0.4165	4
-0.5339	0.3622	4
-0.3194	0.5795	4
0.5597	-0.3178	4
-0.4055	-0.1590	4
-0.6066	0.5758	4
0.0902	-0.5192	4
-0.3328	-0.2398	4
0.2136	-0.3520	4
-0.3980	0.6943	4
0.1014	-0.0806	4
0.1317	-0.3756	4
0.0021	0.7971	4
0.7530	-0.2324	4
0.0147	0.8690	4
-0.7432	0.3265	4
0.0117	0.0151	4
-0.1044	0.2154	4
-0.1409	-0.1088	4
-0.6013	0.7239	4
0.1665	0.9785	4
-0.0882	0.1873	4
0.2872	-0.4311	4
-0.1358	-0.0697	4
-0.0593	-0.1837	4
-0.3909	0.5101	4
-0.0444	0.4497	4
0.1008	0.8956	4
-0.2990	0.6545	4
-0.2651	-0.1891	4
0.4390	0.7701	4
-0.0983	-0.2884	4
0.3699	-0.2846	4
0.1950	0.8199	4
-0.6853	0.3843	4
-0.1992	-0.1159	4
0.0127	-0.4223	4
0.0022	0.1405	4
-0.9572	0.1204	5
-0.9688	-0.3173	5
-0.8289	-0.4844	5
-1.0126	-0.1297	5
-0.5992	-0.2689	5
-0.5603	-0.3778	5
-0.9360	0.0447	5
-0.3486	-0.8409	5
-0.8833	-0.0787	5
-0.9065	-0.1759	5
-0.2672	-0.9733	5
-0.8994	-0.0427	5
-0.9708	-0.0693	5
-0.8849	-0.4750	5
-0.5795	-0.5499	5
-0.9671	-0.4075	5
-0.9988	0.0133	5
-0.4897	-0.4365	5
-0.5946	-0.6241	5
-0.9624	-0.2929	5
-0.9063	-0.0075	5
-0.8812	0.1332	5
-0.7690	-0.5643	5
-0.9633	-0.1680	5
-0.9738	-0.2242	5
-0.8061	-0.5071	5
-0.1536	-0.7790	5
-0.2488	-0.8539	5
-0.9014	0.0793	5
-0.0508	-0.6094	5
-0.3910	-0.4796	5
-0.8683	-0.3708	5
-1.0581	-0.1190	5
-0.9081	-0.1047	5
-0.3405	-0.6003	5
-0.7809	-0.6291	5
-0.8884	-0.3448	5
-0.8947	-0.2425	5
-0.8382	-0.5803	5
-0.9970	0.1246	5
-0.9698	-0.3755	5
-0.3464	-0.8182	5
-0.7991	0.0279	5
-0.7526	-0.3693	5
-0.9521	-0.1489	5
-0.9115	-0.4138	5
-0.8436	0.0107	5
-1.0013	-0.0475	5
