threshold		meanRecall		stdRecall		aBO		stdBO
0.05		84.7		28.3		0.69		0.11
0.1		84.4		28.8		0.69		0.11
0.15		84.2		29.0		0.69		0.12
0.2		83.4		29.5		0.69		0.12
0.25		83.3		29.5		0.68		0.13
0.3		82.4		30.3		0.68		0.15
0.35		81.7		31.4		0.67		0.16
0.4		80.4		32.8		0.66		0.17
0.45		79.5		33.4		0.65		0.20
0.5		79.0		33.8		0.65		0.21
0.55		77.8		34.7		0.63		0.23
0.6		75.3		36.1		0.61		0.25
0.65		72.5		37.7		0.59		0.26
0.7		68.1		39.9		0.57		0.29
0.75		62.4		41.7		0.53		0.32
0.8		56.9		43.3		0.47		0.40
0.85		48.0		43.7		0.36		0.48
0.9		37.4		42.5		0.23		0.56
0.95		19.8		34.9		-0.05		0.66
