threshold		meanRecall		stdRecall		meanNumProposals		stdNumProposals		aBO		stdBO
0.05		92.39		22.22		64		9		0.67		0.12
0.1		92.51		21.97		51		12		0.67		0.12
0.15		92.24		22.16		36		13		0.67		0.13
0.2		91.68		23.13		28		11		0.66		0.13
0.25		90.35		24.95		23		10		0.66		0.14
0.3		90.30		24.98		19		8		0.65		0.15
0.35		89.02		26.22		17		7		0.64		0.17
0.4		87.79		28.01		15		7		0.63		0.18
0.45		86.55		29.19		14		6		0.62		0.20
0.5		84.26		31.44		12		6		0.60		0.21
0.55		82.75		32.67		11		5		0.59		0.22
0.6		79.73		34.42		10		5		0.57		0.24
0.65		77.13		36.20		8		4		0.54		0.25
0.7		73.47		38.32		7		4		0.52		0.28
0.75		68.68		40.56		6		4		0.48		0.31
0.8		62.23		42.72		5		3		0.42		0.38
0.85		53.82		44.70		4		3		0.32		0.46
0.9		41.85		44.76		3		2		0.19		0.54
0.95		22.87		37.58		1		1		-0.08		0.64
