k		meanRecall		stdRecall		aBO		stdBO
1		15.83		34.66		0.27		0.26
2		22.54		39.79		0.31		0.28
3		28.31		42.99		0.35		0.29
4		33.61		44.94		0.39		0.29
5		38.78		46.23		0.42		0.29
6		43.59		46.38		0.45		0.29
7		48.97		45.59		0.47		0.29
8		53.30		44.31		0.48		0.29
9		57.38		43.34		0.50		0.29
10		59.40		42.62		0.51		0.29
15		67.74		39.33		0.56		0.26
20		75.76		35.87		0.61		0.22
25		78.66		34.50		0.65		0.17
30		81.06		32.77		0.67		0.14
35		82.22		31.63		0.68		0.13
40		82.35		31.40		0.68		0.13
45		83.01		30.69		0.68		0.13
50		83.14		30.55		0.68		0.13
60		83.31		30.41		0.68		0.12
70		83.31		30.41		0.68		0.12
80		83.31		30.41		0.68		0.12
90		83.31		30.41		0.68		0.12
100		83.31		30.41		0.68		0.12
