samplesPerClass	meanAUC	stdAUC	minAUC	maxAUC	meanMSE	stdMSE	minMSE	maxMSE	meanR2	stdR2	minR2	maxR2
1		0.689	0.164	0.236	0.838	0.2576	0.1128	0.0804	0.5228	-1.7260	1.1938	-4.5324	0.1496
50		0.866	0.032	0.749	0.928	0.1495	0.0859	0.0494	0.4459	-0.5817	0.9094	-3.7184	0.4778
100		0.903	0.025	0.826	0.948	0.1513	0.0377	0.0558	0.1822	-0.6005	0.3987	-0.9280	0.4091
200		0.930	0.031	0.749	0.968	0.1327	0.0734	0.0404	0.5451	-0.4040	0.7762	-4.7685	0.5723
300		0.951	0.014	0.901	0.970	0.1345	0.0882	0.0498	0.5151	-0.4229	0.9332	-4.4502	0.4734
400		0.952	0.019	0.859	0.973	0.1646	0.1215	0.0475	0.5435	-0.7422	1.2855	-4.7506	0.4970
500		0.960	0.013	0.905	0.972	0.1785	0.1298	0.0419	0.5806	-0.8888	1.3730	-5.1439	0.5562
1000		0.969	0.007	0.934	0.976	0.1338	0.0914	0.0532	0.5077	-0.4154	0.9668	-4.3717	0.4368
2000		0.975	0.003	0.961	0.981	0.1073	0.0560	0.0524	0.3626	-0.1353	0.5928	-2.8373	0.4458
3000		0.977	0.003	0.958	0.983	0.1072	0.0579	0.0530	0.3323	-0.1347	0.6131	-2.5164	0.4390
4000		0.979	0.005	0.928	0.983	0.1153	0.0770	0.0580	0.5078	-0.2199	0.8148	-4.3728	0.3861
5000		0.980	0.005	0.939	0.984	0.1132	0.0627	0.0520	0.4604	-0.1979	0.6640	-3.8717	0.4496
6000		0.982	0.003	0.971	0.986	0.1169	0.0613	0.0547	0.3783	-0.2368	0.6481	-3.0026	0.4215
7000		0.983	0.002	0.969	0.988	0.1110	0.0663	0.0561	0.4715	-0.1747	0.7015	-3.9889	0.4068
8000		0.984	0.003	0.956	0.987	0.1056	0.0502	0.0578	0.3666	-0.1179	0.5310	-2.8792	0.3882
9000		0.985	0.002	0.979	0.989	0.1058	0.0541	0.0585	0.4236	-0.1200	0.5720	-3.4829	0.3805
10000		0.984	0.014	0.841	0.991	0.0996	0.0335	0.0606	0.2518	-0.0534	0.3548	-1.6644	0.3586
