threshold		meanRecall		stdRecall		meanNumProposals		stdNumProposals
0.05		96.7		12.4		407		170
0.1		96.5		12.6		262		115
0.15		96.2		13.2		207		91
0.2		96.1		13.3		174		77
0.25		96.1		13.4		149		66
0.3		95.8		14.1		128		58
0.35		95.5		14.4		110		52
0.4		94.9		15.5		94		46
0.45		94.5		16.0		79		40
0.5		93.7		17.4		62		33
0.55		92.3		20.2		46		25
0.6		90.8		23.0		30		18
0.65		86.4		29.3		17		12
0.7		73.0		40.0		8		7
0.75		49.3		44.4		3		3
0.8		27.5		38.6		1		1
0.85		6.9		20.8		0		0
0.9		0.0		0.0		0		0
0.95		0.0		0.0		0		0
