threshold		meanRecall		stdRecall		aBO		stdBO
0.05		61.4		42.0		0.70		0.12
0.1		59.8		42.1		0.69		0.12
0.15		58.3		42.0		0.68		0.13
0.2		55.8		42.4		0.68		0.13
0.25		53.9		42.6		0.67		0.14
0.3		51.5		42.8		0.67		0.14
0.35		50.0		42.7		0.66		0.14
0.4		48.7		42.7		0.65		0.15
0.45		46.4		42.7		0.65		0.15
0.5		45.2		42.8		0.64		0.16
0.55		42.3		42.5		0.63		0.18
0.6		39.5		42.0		0.60		0.25
0.65		34.3		40.5		0.55		0.34
0.7		28.8		38.4		0.38		0.55
0.75		20.3		33.5		0.05		0.73
0.8		13.3		26.9		-0.38		0.76
0.85		4.6		15.9		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
