threshold		meanRecall		stdRecall		meanNumProposals		stdNumProposals		aBO		stdBO
0.05		96.68		12.43		407		170		0.76		0.12
0.1		96.50		12.61		262		115		0.76		0.12
0.15		96.20		13.24		207		91		0.76		0.13
0.2		96.12		13.33		174		77		0.76		0.13
0.25		96.07		13.37		149		66		0.75		0.13
0.3		95.75		14.12		128		58		0.75		0.14
0.35		95.52		14.43		110		52		0.75		0.14
0.4		94.85		15.50		94		46		0.75		0.14
0.45		94.51		15.97		79		40		0.74		0.15
0.5		93.65		17.40		62		33		0.74		0.16
0.55		92.34		20.16		46		25		0.73		0.18
0.6		90.82		23.02		30		18		0.69		0.27
0.65		86.42		29.34		17		12		0.63		0.36
0.7		73.02		39.97		8		7		0.44		0.58
0.75		49.29		44.39		3		3		0.08		0.75
0.8		27.46		38.57		1		1		-0.37		0.77
0.85		6.93		20.80		0		0		-0.82		0.49
0.9		0.00		0.00		0		0		-1.00		0.00
0.95		0.00		0.00		0		0		-1.00		0.00
