threshold		meanRecall		stdRecall		aBO		stdBO
0.05		2.3		15.0		0.69		0.16
0.1		1.5		12.3		0.65		0.19
0.15		0.6		8.0		0.57		0.22
0.2		0.0		0.0		0.41		0.27
0.25		0.0		0.0		0.17		0.34
0.3		0.0		0.0		-0.44		0.57
0.35		0.0		0.0		-0.86		0.37
0.4		0.0		0.0		-0.99		0.07
0.45		0.0		0.0		-1.00		0.00
0.5		0.0		0.0		-1.00		0.00
0.55		0.0		0.0		-1.00		0.00
0.6		0.0		0.0		-1.00		0.00
0.65		0.0		0.0		-1.00		0.00
0.7		0.0		0.0		-1.00		0.00
0.75		0.0		0.0		-1.00		0.00
0.8		0.0		0.0		-1.00		0.00
0.85		0.0		0.0		-1.00		0.00
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
