threshold		meanRecall		stdRecall		meanNumProposals		stdNumProposals		aBO		stdBO
0.05		91.83		17.84		278		87		0.69		0.16
0.1		89.04		23.20		151		57		0.65		0.19
0.15		76.51		35.22		75		32		0.57		0.22
0.2		49.49		44.03		32		19		0.41		0.27
0.25		18.10		36.53		11		11		0.17		0.34
0.3		1.54		12.33		2		3		-0.44		0.57
0.35		0.64		8.00		0		0		-0.86		0.37
0.4		0.00		0.00		0		0		-0.99		0.07
0.45		0.00		0.00		0		0		-1.00		0.00
0.5		0.00		0.00		0		0		-1.00		0.00
0.55		0.00		0.00		0		0		-1.00		0.00
0.6		0.00		0.00		0		0		-1.00		0.00
0.65		0.00		0.00		0		0		-1.00		0.00
0.7		0.00		0.00		0		0		-1.00		0.00
0.75		0.00		0.00		0		0		-1.00		0.00
0.8		0.00		0.00		0		0		-1.00		0.00
0.85		0.00		0.00		0		0		-1.00		0.00
0.9		0.00		0.00		0		0		-1.00		0.00
0.95		0.00		0.00		0		0		-1.00		0.00
