k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.11		0.17
2		0.00		0.00		0.14		0.19
3		0.00		0.00		0.16		0.20
4		0.00		0.00		0.18		0.21
5		0.00		0.00		0.20		0.22
6		0.00		0.00		0.21		0.22
7		0.00		0.00		0.22		0.23
8		0.00		0.00		0.23		0.23
9		0.00		0.00		0.25		0.23
10		0.00		0.00		0.25		0.23
15		0.13		3.59		0.31		0.25
20		0.39		6.20		0.35		0.25
25		0.64		8.00		0.39		0.25
30		0.64		8.00		0.43		0.24
35		0.77		8.75		0.46		0.24
40		0.77		8.75		0.48		0.23
45		0.77		8.75		0.50		0.23
50		0.77		8.75		0.51		0.23
60		0.77		8.75		0.54		0.22
70		0.77		8.75		0.56		0.21
80		0.77		8.75		0.58		0.21
90		0.77		8.75		0.60		0.20
100		0.90		9.45		0.61		0.20
