k		meanRecall		stdRecall		aBO		stdBO
1		64.91		36.72		0.41		0.33
2		74.32		32.62		0.49		0.32
3		79.49		29.73		0.56		0.29
4		84.17		27.59		0.61		0.25
5		87.41		25.27		0.64		0.21
6		88.48		24.14		0.66		0.20
7		90.15		22.48		0.66		0.19
8		90.54		22.22		0.67		0.18
9		91.29		21.16		0.67		0.17
10		91.70		20.58		0.68		0.17
15		92.99		19.16		0.69		0.16
20		94.68		16.12		0.70		0.14
25		95.17		15.27		0.70		0.13
30		95.39		14.81		0.70		0.12
35		95.43		14.77		0.70		0.12
40		95.43		14.77		0.70		0.12
45		95.47		14.74		0.70		0.12
50		95.52		14.70		0.70		0.12
60		95.65		14.60		0.71		0.12
70		95.69		14.56		0.71		0.11
80		95.73		14.52		0.71		0.11
90		95.73		14.52		0.71		0.11
100		95.73		14.52		0.71		0.11
