tspc	numParams	meanAcc	stdAcc	minAcc	maxAcc	meanTime	stdTime
1	101376	43.85	4.94	33.16	57.97	0.24	0.01
2	202752	55.43	4.77	41.77	65.57	0.46	0.01
3	304128	60.93	4.46	47.34	70.63	0.68	0.02
4	405504	66.79	3.27	57.97	73.42	0.91	0.02
5	506880	69.47	3.18	58.99	75.70	1.13	0.03
6	608256	72.56	2.96	64.30	78.99	1.36	0.03
7	709632	75.24	2.73	66.84	81.27	1.58	0.04
8	811008	76.98	2.80	70.13	84.56	1.81	0.04
9	912384	78.87	2.29	72.41	83.29	2.03	0.04
10	1013760	79.83	2.67	72.91	86.33	2.26	0.05
15	1520640	85.37	2.21	78.99	91.65	3.39	0.07
20	2027520	88.25	1.75	84.30	93.67	4.61	0.08
25	2534400	90.16	1.60	86.08	94.68	5.81	0.09
30	3041280	91.62	1.75	86.84	95.19	6.96	0.10
35	3548160	92.71	1.29	89.37	95.70	8.12	0.12
40	4055040	93.76	1.20	90.13	96.46	9.25	0.13
45	4561920	94.66	0.99	92.15	96.71	10.44	0.14
50	5068800	95.03	1.02	92.15	97.97	11.62	0.15
60	6082560	96.05	0.81	93.67	97.72	13.93	0.18
70	7096320	96.52	0.71	94.18	97.72	16.24	0.20
80	8110080	96.96	0.63	95.19	98.48	18.55	0.21
90	9123840	97.23	0.55	95.70	98.48	20.72	0.22
100	10137600	97.35	0.54	95.95	98.48	23.03	0.25
110	11151360	97.63	0.46	96.46	98.73	25.25	0.26
120	12165120	97.80	0.46	96.46	98.73	27.53	0.28
130	13178880	97.95	0.34	97.22	98.73	29.81	0.30
140	14192640	97.99	0.39	96.96	98.73	32.06	0.30
150	15206400	98.08	0.34	97.22	98.73	34.56	0.33
