x	y	classId
6.8698	-11.5508	5
-11.8656	-13.3675	3
-13.7879	5.0922	2
4.5051	-0.7390	4
8.9854	10.8802	8
-14.0972	-11.5214	3
-11.5604	4.9533	2
4.4327	0.3046	4
9.6672	1.7385	10
8.1081	-7.8834	5
10.5769	11.0285	8
-5.5653	-3.7096	0
-5.4826	12.3717	1
-10.0298	13.4331	1
9.8431	-9.3434	5
-10.5293	13.3826	1
-0.8349	4.5781	6
-10.3995	5.7221	2
11.9313	-0.0929	10
-9.0361	3.2536	2
-11.6512	-10.7575	3
-8.9656	3.1613	2
10.6504	-8.3408	5
-8.5184	13.6352	1
-9.6249	13.5968	1
-10.0181	13.1698	1
-12.7017	-10.0116	3
-1.0944	5.2616	6
-9.2103	4.9300	2
-1.1385	-6.4700	0
-12.2860	2.2314	2
0.1269	-6.0988	0
-2.4350	13.6102	1
-10.8065	3.5285	2
-3.0278	-7.1409	0
10.6476	-7.8884	5
5.1073	-0.7937	4
-10.9727	12.5849	1
-12.0969	-14.3432	3
4.5521	-1.4386	4
9.1758	0.3368	10
-5.8262	15.9555	1
8.9904	0.5314	10
3.4000	-2.1922	4
-6.2400	10.4404	1
3.0594	-0.5120	4
-2.9112	-3.2810	0
0.7467	-5.9736	0
-2.0005	-4.6661	0
-12.6270	-14.0657	3
3.7506	-1.2314	4
-6.4702	11.1642	1
11.7300	-1.3869	10
10.1577	11.3677	8
-1.8350	2.8816	6
9.7972	10.2465	8
-3.2190	-15.2609	7
-4.4010	-6.1121	0
-3.0894	15.2119	1
-0.3919	-14.5809	7
7.0844	-12.9213	5
-9.4815	11.2356	1
-3.0063	13.8515	1
-12.9311	4.2804	2
-11.5527	-11.0313	3
10.0540	0.6934	10
-6.9876	12.4200	1
-0.4686	-13.7009	7
-1.1495	6.0236	6
-1.4894	-16.4280	7
-9.6881	12.8941	1
10.1292	-10.2185	5
10.0043	-10.8837	5
8.8374	-9.9469	5
-11.2576	5.2952	2
11.8691	2.1056	10
-12.1441	6.3766	2
12.7206	1.0951	10
-9.5046	4.5576	2
-0.9049	-14.9563	7
