x	y	classId
-0.0424	17.2604	5
-4.5889	-4.3243	3
18.2039	-7.1755	2
6.6661	2.4065	4
-2.4959	2.9221	8
-2.1748	-5.9232	3
18.8374	-1.2282	2
5.4492	2.6407	4
-14.3517	13.9993	10
-2.9683	9.2011	5
-3.0278	4.4799	8
-2.1370	-16.8728	0
-21.6837	-0.4775	1
-22.8826	0.9627	1
0.1389	14.1511	5
-23.2233	1.5635	1
6.8546	-4.2667	6
19.6940	-4.4178	2
-9.7636	16.6047	10
17.7504	0.3568	2
-1.9228	-4.6012	3
17.1459	0.1763	2
0.9613	13.0063	5
-21.3739	1.3038	1
-21.9229	1.5271	1
-22.8763	1.5639	1
0.0320	-2.3353	3
7.3874	-9.5700	6
16.9955	-4.3736	2
-4.8577	-15.5856	0
15.4525	-8.2268	2
-0.5611	-14.6650	0
-12.1479	-1.3005	1
18.2051	-8.6255	2
3.1355	-12.9084	0
1.1098	13.8213	5
7.7788	2.2036	4
-19.5375	2.6239	1
-6.3323	-5.1979	3
7.1659	2.3782	4
-5.8773	-2.5674	10
-22.0680	-3.4311	1
-6.5458	17.7251	10
9.3531	2.6781	4
-19.4619	6.3688	1
4.0777	1.8192	4
-5.1299	-16.5037	0
-2.2379	-18.2745	0
-2.6710	-14.9467	0
-3.9910	-5.8574	3
6.9536	2.9392	4
-20.3996	-1.6051	1
-13.3202	15.2488	10
-4.7380	5.4109	8
6.9882	-7.0307	6
-2.3118	2.7045	8
14.2080	13.9208	7
0.6140	-18.5447	0
-11.4297	-2.6648	1
11.1524	9.7835	7
-0.5699	16.4999	5
-18.4654	-5.0188	1
-13.5054	6.1578	1
14.1325	-1.6777	2
-5.0580	-2.7401	3
-8.4974	17.9938	10
-16.7292	3.2876	1
10.6868	9.6839	7
7.3612	-9.5212	6
13.0123	12.9940	7
-22.6389	1.6151	1
5.4833	16.2623	5
5.4111	16.3079	5
2.8387	7.8674	5
14.3013	-9.7921	2
-8.7166	15.2387	10
14.8432	-5.4910	2
-8.9330	12.1246	10
14.6880	-9.9933	2
13.9311	10.1951	7
11.9585	13.1565	7
16.8451	0.0569	2
-3.4253	4.1285	8
6.4952	-5.7493	6
-7.3677	18.1810	10
-15.0789	0.8612	1
-23.2881	1.3241	1
-15.1679	0.2429	1
-0.2214	-7.3227	3
-7.0013	16.2639	10
-0.8456	-11.0734	0
-4.3589	-1.6943	3
-1.3605	9.4599	5
-19.2000	5.1881	1
-8.4744	2.1275	9
-15.4635	0.0944	1
17.7774	-6.0907	2
-2.7097	-12.5755	0
6.5845	2.5183	4
3.5645	13.6581	5
3.1383	-17.1482	0
-3.8829	3.7076	8
1.2174	-11.2198	0
18.2551	-6.1045	2
-14.5161	7.2850	1
1.5418	14.9976	5
-3.0742	3.2299	8
4.3201	-14.3155	0
-8.7867	1.5850	9
-11.4915	15.3393	10
-0.1517	8.4506	5
0.4733	9.1392	5
-4.9133	4.0861	8
-12.9483	15.3106	10
15.1946	-9.9518	2
-20.4102	-1.4417	1
-1.2338	8.9879	5
-7.0694	-14.3445	0
-1.9621	-4.3926	3
6.3431	2.6609	4
0.6549	-6.6777	3
1.1354	-17.2951	0
21.3763	-2.5392	2
12.3740	14.8081	7
-9.2333	11.7210	10
-14.3925	14.8589	10
-3.5695	-14.9471	0
4.4829	9.8285	5
2.1462	-17.6857	0
-3.7046	-13.7766	0
-3.7796	-5.8375	3
15.2749	-5.4710	2
-14.2278	-9.9308	1
-9.1770	2.2494	9
-9.3970	18.4341	10
14.3483	-8.2164	2
18.0812	-3.3450	2
2.6993	-16.9381	0
18.1530	-7.4403	2
-5.2008	-6.9850	3
1.1699	-17.8329	0
11.5780	13.0454	7
18.6441	-3.8395	2
-6.0252	13.8908	10
-5.6730	4.7253	8
0.7204	-18.4892	0
14.3133	9.2639	7
17.5908	0.2259	2
-7.3496	18.3248	10
-21.4916	1.2648	1
1.1736	6.5479	5
13.3521	14.5782	7
3.7420	7.1456	5
-10.9935	15.9903	10
-4.6000	-6.4046	3
1.1088	14.8865	5
0.1516	17.0627	5
-2.3123	2.5904	8
-17.0041	5.1705	1
-1.3255	-18.6534	0
12.0143	10.3291	7
-9.1157	1.1419	9
13.6530	-4.4215	2
-19.5838	6.2649	1
7.6283	3.5794	4
14.4383	15.4638	7
-11.8803	-3.5362	1
-2.5663	-12.2950	0
-8.4708	1.1600	9
19.6950	-6.1559	2
6.9326	-9.6665	6
-16.8946	3.4302	1
18.3372	-4.1862	2
-1.0360	-15.4297	0
1.2581	6.5787	5
-4.2805	-15.3107	0
-18.8425	3.2990	1
-14.0603	-9.5755	1
-4.6341	-5.9017	3
1.4032	7.3382	5
6.8623	-8.1421	6
-8.2446	1.2725	9
-17.4853	2.2365	1
-21.8419	-0.7647	1
-18.8043	-4.1504	1
1.7016	13.2664	5
7.1411	-9.1947	6
-2.7243	-13.3968	0
-8.2414	10.9386	10
2.2848	16.4486	5
-2.4497	-12.6349	0
-4.5630	-3.3654	3
-11.3472	13.3545	10
-3.4668	-14.6492	0
-7.1815	-14.5825	0
2.1838	8.2381	5
13.6514	13.3424	7
-9.8908	11.0964	10
2.5238	16.9945	5
-16.8527	5.1543	1
11.0467	13.1593	7
-7.0707	-12.6613	0
-0.3983	16.7348	5
17.7149	-4.8947	2
-1.3791	-5.7629	3
-15.2142	-8.1857	1
-21.0318	1.0955	1
-12.4261	14.0236	10
12.6210	10.7836	7
-20.2634	-0.2557	1
8.2931	-4.8057	6
-1.9840	2.1601	8
-8.9163	15.3305	10
-14.4631	14.8750	10
-4.4762	-5.5852	3
1.9451	14.8583	5
7.5253	-5.1979	6
16.9851	-3.8713	2
-15.3482	-0.0327	1
5.6688	2.6412	4
-2.6509	3.0157	8
-21.2868	3.2807	1
-11.4132	13.9957	10
5.6974	-4.1448	6
1.1915	16.2057	5
0.6816	-6.3586	3
8.1278	2.7008	4
1.9776	15.5049	5
-11.8952	-2.5521	1
16.9860	-3.8844	2
3.2022	-13.0409	0
-5.0721	4.3638	8
-2.3152	-4.7738	3
18.6843	-6.9660	2
13.5934	-9.3454	2
-17.6260	2.0504	1
7.2874	2.9461	4
-21.8199	-1.3625	1
-4.7603	3.9906	8
17.6902	0.6145	2
0.8863	7.0372	5
-19.9203	-3.8821	1
-5.1607	-3.5092	3
-19.3928	6.1492	1
-0.3733	13.9453	5
-2.0216	2.2499	8
14.7473	-2.8828	2
5.5612	-4.2886	6
-8.7009	1.5977	9
0.6388	-6.4823	3
2.6964	-14.0799	0
-10.4265	16.7695	10
-5.7155	-15.8683	0
-21.6664	-2.6643	1
-11.7678	-3.6995	1
-1.3177	-17.3109	0
19.2342	-5.6274	2
7.4901	-9.5972	6
7.7305	-4.3324	6
