x	y	classId
5.3239	-15.5416	5
-11.7640	-12.4499	3
-12.5377	10.2321	2
1.9099	2.1782	4
6.4678	-1.1593	8
-15.4520	-11.7137	3
-11.1944	10.5292	2
1.8629	3.3128	4
27.3350	11.4656	10
18.6267	-8.0206	5
5.9845	-6.7273	8
-13.4714	-3.1014	0
4.2656	14.4479	1
-2.0170	20.5558	1
6.5361	-16.2118	5
-1.4334	19.8427	1
-2.7527	-12.5157	6
-11.4982	10.9562	2
22.2356	10.4627	10
-19.5758	-9.2991	2
-10.0581	-12.4493	3
-19.6841	-9.1674	2
12.9463	-15.1718	5
-4.2898	21.3909	1
-2.9892	21.1081	1
-2.6537	21.0170	1
-8.4934	-12.4783	3
-10.1662	-0.9578	6
-15.9807	12.9505	2
-17.9215	-5.0169	0
-14.2407	2.4411	2
-5.6642	-3.7912	0
12.8367	-5.0834	1
-10.4621	3.9488	2
-2.9039	-0.2479	0
7.1669	-16.2600	5
-0.1432	3.0185	4
-1.2579	20.5028	1
-11.8731	-11.6340	3
4.2918	2.2047	4
-17.9551	-2.3391	10
-8.3104	15.4002	1
20.7246	8.8987	10
-0.3973	6.8805	4
-2.0874	15.2531	1
-2.4390	2.4385	4
-6.6230	-1.2990	0
-13.3188	-3.6137	0
-21.9734	-3.2353	0
-14.1053	-13.7116	3
1.6310	2.1737	4
-7.6586	18.2477	1
26.6809	11.1948	10
-4.9318	-19.4948	8
-7.3625	-8.0348	6
10.3318	1.1752	8
12.9464	9.7179	7
-1.0199	-5.9067	0
11.3787	-3.5873	1
1.5046	9.2947	7
3.7381	-18.5454	5
-10.1657	19.1425	1
4.5764	17.2140	1
-18.9221	11.7083	2
-14.5179	-8.0361	3
20.5716	6.4823	10
-2.2663	15.0629	1
1.8167	9.1023	7
-10.6244	1.1955	6
10.8851	12.1809	7
-2.7092	21.0193	1
2.6773	-13.8147	5
2.4505	-13.5631	5
10.7739	-9.9199	5
-6.7752	6.7823	2
25.8597	12.0250	10
-17.1175	8.0989	2
16.0592	3.3229	10
-6.6587	6.5331	2
7.3007	4.9793	7
10.4692	12.6629	7
-19.6240	-9.2451	2
8.2523	0.2247	8
-1.9435	-11.0459	6
20.3053	5.2202	10
4.9643	12.5445	1
-1.3706	19.7375	1
5.2434	12.8406	1
-18.1273	0.6476	3
19.2651	5.9089	10
-6.1666	-14.4904	0
-3.1628	8.3196	3
14.1357	-11.8885	5
-2.8462	19.8833	1
2.3508	-9.6585	9
5.2986	13.1558	1
-14.9138	10.0557	2
-23.3902	-2.5505	0
2.4389	2.2905	4
6.9592	-19.3725	5
-6.0898	-14.4663	0
5.5083	-4.2349	8
0.2053	-1.5656	0
-15.2775	9.7077	2
6.8223	19.4142	1
7.8922	-17.7698	5
8.6318	0.4872	8
-16.2644	-3.4818	0
-4.3681	-17.1590	9
25.0283	11.0847	10
12.8506	-9.5012	5
12.8452	-9.3468	5
5.4513	-5.6649	8
24.4482	12.2971	10
-6.7619	5.4247	2
-7.7140	18.0160	1
15.4935	-12.0333	5
-17.9366	-4.7609	0
-8.4607	-12.2819	3
1.5490	1.4454	4
-19.0500	1.0524	3
-1.1847	-4.5745	0
-13.7269	1.8509	2
12.1252	12.0599	7
16.3761	3.8636	10
23.0304	14.5308	10
-21.6804	-4.6793	0
15.4271	-2.3451	5
-1.4379	-4.8625	0
-23.0838	-2.6836	0
-12.4569	-14.0584	3
-18.0265	11.3385	2
-9.6816	-4.0534	1
-0.1133	-16.7835	9
20.9763	10.4870	10
-9.3896	5.1769	2
-14.1610	13.3659	2
-6.3530	-4.3702	0
-13.0645	12.0816	2
-11.7528	-9.8932	3
-5.7894	-3.7849	0
11.0559	12.8824	7
-16.7606	11.3457	2
-18.2871	-12.6945	10
-3.4917	-20.7003	8
-1.1364	-5.6851	0
-0.3131	11.6865	7
-12.8655	6.6631	2
18.3593	1.7755	10
-3.1421	21.1581	1
17.3958	-7.2172	5
11.8545	10.9781	7
12.8953	-9.0667	5
24.5359	10.5678	10
-11.8759	-13.9487	3
6.6271	-16.2135	5
5.7355	-13.6602	5
10.4253	1.2179	8
5.3225	18.3507	1
-4.9909	-5.6460	0
8.2563	4.6921	7
3.6347	-9.4880	9
-13.9784	5.3547	2
-2.1361	15.3490	1
-0.1080	2.8010	4
11.5662	8.5949	7
12.1160	-2.6151	1
-22.9229	-0.4434	0
