x	y	classId
-22.3625	-23.8560	0
-29.2062	-8.3724	0
17.5364	2.1865	0
-32.3687	-10.4612	0
-36.7008	2.8918	0
-14.2079	5.5956	0
-14.5367	5.3511	0
-38.1700	4.4975	0
17.5838	0.7092	0
-33.2118	-13.2890	0
-38.3575	3.7323	0
-22.7395	-8.5653	0
-33.4644	4.6533	0
-28.9273	-18.2479	0
-36.5847	5.2844	0
-13.4927	5.8239	0
-32.6540	4.3308	0
-32.9650	-13.4103	0
-30.6784	-8.1676	0
-32.9242	-15.4084	0
-28.8279	-8.4373	0
-27.8385	-17.7975	0
-32.8917	6.1639	0
-35.9087	5.3914	0
-27.7963	-19.6114	0
-27.9511	-19.1299	0
-29.4379	-18.4815	0
-33.8356	6.1117	0
-33.9068	13.5011	0
-32.4204	-14.7876	0
-36.6393	3.3588	0
-11.2806	7.1424	0
-34.0753	-9.7930	0
-29.8247	-17.8058	0
-32.8731	-14.8044	0
16.0491	2.1733	0
-33.7934	13.4931	0
-32.8204	3.9568	0
-16.8851	34.9032	0
-33.6190	-10.5873	0
-32.6367	-9.7055	0
17.4174	1.0544	0
-36.3854	3.5272	0
18.9493	0.6009	0
-11.1858	7.2329	0
-33.4009	-10.3703	0
-35.9718	4.9058	0
-39.2347	3.7031	0
-13.1071	6.6713	0
-16.8862	34.8988	0
-14.0125	-32.7410	1
-20.2475	-35.2527	1
-20.5566	-33.1431	1
-14.3788	-33.5736	1
-30.8121	-26.1248	1
-15.8456	-33.8886	1
-31.5529	-24.6397	1
-19.4305	-32.7899	1
-19.7407	-19.4848	1
-29.8193	-12.8431	1
-14.8016	-31.6775	1
-20.9346	-35.1228	1
13.0105	-2.8973	1
-34.5307	-18.4754	1
-17.6824	-32.2997	1
-29.8183	-12.5737	1
-13.8561	-27.4306	1
11.1877	-2.7541	1
-19.5664	-33.4885	1
-21.6741	-34.8150	1
-21.3442	-31.7900	1
-28.6871	-11.6892	1
2.3047	-19.2641	1
-33.6426	-23.8546	1
-29.5421	-14.2312	1
-15.7572	-29.5159	1
-22.7845	-31.9308	1
-12.7514	-33.3054	1
-14.6255	-34.8852	1
-13.0090	-32.8525	1
-16.1764	-32.2485	1
-13.3254	-32.0843	1
-22.6690	-34.5166	1
-13.1192	-27.6813	1
-34.4183	-18.6686	1
-21.8080	-32.1193	1
-14.0291	-34.3282	1
-31.9961	-24.3484	1
-13.8103	-27.4600	1
-22.4087	-32.8944	1
-30.3662	-13.4977	1
-16.2274	-30.6535	1
-29.4169	-10.5829	1
-19.8507	-32.9642	1
12.4500	-2.5636	1
-33.6098	-23.8590	1
-16.9858	-34.0980	1
-16.1905	-34.5693	1
-30.8553	-26.0169	1
2.3039	-19.4284	1
-7.5111	-7.5569	2
-8.2386	-9.2566	2
-7.9683	-1.9213	2
-2.8842	-3.5755	2
-10.1074	-6.9237	2
-6.0865	1.8122	2
-8.4077	-11.2883	2
-9.4330	2.9022	2
-9.0388	-1.4835	2
-9.2584	-3.1934	2
-7.1068	-4.6374	2
-11.2084	0.9125	2
-7.4429	4.0055	2
-32.1060	15.6251	2
-11.2564	-3.6401	2
-8.9987	-4.0344	2
-7.8214	3.6640	2
-8.9260	-11.3249	2
-18.8124	6.9028	2
-8.3002	3.4960	2
-12.6862	-3.2266	2
-10.4201	0.5621	2
-10.4180	-9.7511	2
-14.6642	-18.9777	2
-8.5538	-2.2240	2
-7.8684	-2.1171	2
-10.5281	-11.4907	2
-9.9360	-10.4880	2
-2.7595	-1.6355	2
-3.2309	-4.6913	2
-19.7556	7.5013	2
-4.8964	-8.7273	2
-5.2912	-6.2347	2
-10.0968	-5.1374	2
-8.5063	-11.8129	2
-9.2066	-9.2825	2
-6.3643	2.3447	2
-10.4621	-4.3623	2
-6.2669	-7.4885	2
-10.9718	1.2269	2
-10.6651	-1.6464	2
-8.3267	-10.6869	2
-1.9363	-1.8493	2
-3.6482	-7.3442	2
-9.3919	-9.1618	2
-5.0686	-6.9635	2
-6.9839	-7.0790	2
-11.5109	1.3576	2
-2.8361	-1.5256	2
-4.6806	-7.8461	2
-21.5424	-3.1378	3
-24.0415	-3.2980	3
-25.3397	-5.3927	3
-40.5814	-0.8524	3
-21.4460	5.7149	3
-19.1899	-1.5426	3
-28.0390	-2.1659	3
-23.0502	1.1663	3
4.2792	-9.3916	3
2.5992	-9.8893	3
-41.2158	-1.5687	3
-23.8411	0.0163	3
-25.0125	-4.0840	3
-20.1153	-23.9248	3
-22.4437	5.2374	3
-41.3819	-1.7810	3
-22.8070	-3.9835	3
-27.6472	-2.3204	3
-24.4551	2.1534	3
-27.9301	-2.8425	3
-39.6165	-0.6113	3
-36.8389	-1.3389	3
-24.4162	-0.0430	3
3.4967	-8.1175	3
