x	y	classId
-13.3016	13.2433	0
-9.2720	15.0705	0
-12.7835	15.7976	0
-11.3395	16.0454	0
-11.2881	18.2587	0
-10.7766	18.8363	0
-11.9439	19.7260	0
-12.7716	19.1735	0
-12.3740	15.2515	0
-11.6657	15.7790	0
-14.0963	17.6485	0
-15.4367	15.5481	0
-7.9957	18.4989	0
-8.4814	14.7362	0
-8.4263	16.9040	0
-11.0757	19.9074	0
-10.8578	16.8482	0
-11.6143	16.3684	0
-10.6772	13.9846	0
-10.9453	16.5062	0
-8.5012	14.6054	0
-9.2264	14.1200	0
-10.4265	17.9673	0
-8.2315	19.1095	0
-11.5073	12.6226	0
-9.7705	14.0446	0
-9.2107	14.7300	0
-9.1559	17.1333	0
-8.1823	16.5749	0
-11.1560	18.2735	0
-10.1161	17.7014	0
-10.4651	20.6263	0
-9.3257	15.5116	0
-10.4043	13.7484	0
-10.2196	15.8889	0
-12.7163	14.5146	0
-7.2994	18.0620	0
-9.4628	17.4775	0
-6.8882	18.0127	0
-11.2244	15.1378	0
-12.5201	15.2462	0
-13.4595	15.8255	0
-10.8948	17.4810	0
-11.3937	18.0850	0
-9.2616	19.9816	0
-10.8121	15.8742	0
-9.0409	16.6008	0
-14.3825	18.9958	0
-10.5612	18.0340	0
-6.7849	17.7071	0
-8.1861	-4.4123	1
-9.8188	-3.8936	1
-8.5943	-4.1434	1
-8.1642	-3.8496	1
-13.7448	-2.4751	1
-8.8401	-4.7808	1
-12.3502	-3.7984	1
-11.4905	-3.7940	1
-9.5504	-1.0124	1
-12.1608	-6.5785	1
-8.2482	-2.0617	1
-9.8440	-3.1430	1
-13.9912	-3.8944	1
-8.9430	-5.2486	1
-9.7497	-1.5516	1
-13.9443	-7.4504	1
-10.0327	-7.1527	1
-13.9402	-4.3755	1
-11.1148	-5.1485	1
-11.0465	-3.9437	1
-11.2191	-3.2632	1
-12.5135	-6.0029	1
-12.3634	-6.9115	1
-13.0613	-1.7438	1
-11.7466	-9.2210	1
-7.6933	-5.4477	1
-10.7355	-4.7365	1
-8.3147	-3.8176	1
-9.6625	-5.1343	1
-9.4612	-1.8581	1
-7.3564	-3.3523	1
-9.7745	-2.8285	1
-11.4198	-4.8328	1
-9.5073	-6.5627	1
-10.1938	-6.2658	1
-12.2449	-4.4140	1
-8.5570	-4.6242	1
-12.1050	-1.6685	1
-9.3086	-7.8061	1
-7.5471	-2.7181	1
-10.3414	-8.2731	1
-8.2520	-5.4007	1
-12.5030	-7.0032	1
-9.6759	-3.2894	1
-14.2621	-4.3948	1
-13.1314	-2.1654	1
-10.5478	-5.6551	1
-13.5782	-5.7439	1
-12.4634	-2.4407	1
-11.3691	-6.4790	1
-28.9212	-13.3569	2
-30.2487	-9.6058	2
-30.2785	-13.7020	2
-27.3208	-15.9681	2
-28.8789	-12.0189	2
-27.1332	-13.1431	2
-28.8106	-13.4253	2
-27.5762	-9.3338	2
-28.7578	-10.0905	2
-32.2953	-10.5153	2
-27.7628	-11.6876	2
-26.1049	-11.9309	2
-27.3772	-10.2247	2
-26.5077	-9.6265	2
-30.2683	-11.5591	2
-30.0691	-10.0289	2
-27.8091	-12.9592	2
-29.6268	-12.3740	2
-28.6955	-10.0242	2
-28.3364	-9.9048	2
-32.1109	-14.2735	2
-30.5516	-9.1123	2
-28.6992	-9.8192	2
-32.8182	-11.9686	2
-31.3098	-12.2552	2
-30.8654	-10.1445	2
-29.6958	-12.2723	2
-29.4891	-14.7767	2
-27.1845	-15.3952	2
-27.5022	-16.2935	2
-28.0858	-8.8551	2
-30.8860	-14.9882	2
-27.8391	-14.9748	2
-31.0099	-12.7922	2
-28.4506	-11.9135	2
-31.3935	-11.5842	2
-27.3792	-10.8908	2
-31.0379	-11.3611	2
-30.1299	-10.6676	2
-25.7897	-12.8754	2
-25.8253	-12.9401	2
-30.1100	-12.8161	2
-27.8718	-16.2343	2
-29.0972	-14.8485	2
-30.1054	-11.8511	2
-30.5899	-11.4982	2
-31.2762	-11.4751	2
-27.1641	-11.3603	2
-27.8972	-14.9653	2
-29.7660	-14.7102	2
-9.6246	-27.6739	3
-8.8972	-24.3143	3
-12.2548	-28.6170	3
-9.3546	-27.2396	3
-12.5432	-26.1677	3
-7.4323	-29.1876	3
-13.3947	-25.8635	3
-13.4096	-26.4358	3
-11.9795	-30.2855	3
-13.7708	-29.9609	3
-11.0158	-25.9902	3
-12.9962	-28.5170	3
-11.3428	-28.3607	3
-11.5716	-31.6023	3
-11.9948	-23.6708	3
-10.8377	-25.5163	3
-10.5288	-27.9222	3
-12.1268	-25.3324	3
-10.8473	-24.1252	3
-12.0718	-25.6740	3
-9.4739	-26.6177	3
-8.7861	-26.8141	3
-11.0399	-27.1300	3
-11.7181	-29.1027	3
-11.9495	-30.5395	3
-9.5920	-30.1653	3
-9.8590	-25.9597	3
-8.5319	-26.2428	3
-8.8717	-25.6133	3
-12.5025	-30.8129	3
-9.2892	-26.0292	3
-10.2011	-28.1661	3
-8.5078	-28.5721	3
-10.1235	-29.8082	3
-13.8132	-29.5247	3
-12.0809	-23.1140	3
-8.6313	-28.1433	3
-10.6002	-29.2373	3
-8.0208	-27.5201	3
-11.6912	-23.7943	3
-14.3184	-27.7815	3
-12.7741	-27.6304	3
-9.2277	-29.5729	3
-12.6411	-25.0109	3
-12.7797	-26.7212	3
-10.5314	-31.4154	3
-9.8558	-27.9717	3
-10.4884	-26.0648	3
-13.0463	-25.8312	3
-12.0677	-27.5349	3
-29.6736	14.1036	4
-24.7400	16.4127	4
-26.3011	14.9230	4
-24.3699	17.2661	4
-27.7107	11.5735	4
-25.7847	9.9116	4
-31.7281	12.4015	4
-25.1112	12.2957	4
-31.9500	8.1853	4
-28.5856	10.4804	4
-28.7102	10.9473	4
-32.9588	11.5063	4
