x	y	classId
-9.2531	-7.5950	0
-11.0542	-10.7296	0
-6.1100	-11.4128	0
-5.5063	-9.9870	0
-7.6510	-13.0191	0
-10.1389	-12.9608	0
-8.3937	-12.9426	0
-9.0073	-13.2630	0
-4.7769	-11.8640	0
-7.9919	-11.7627	0
-10.1564	-14.1449	0
-10.9216	-7.9534	0
-9.5914	-15.0611	0
-11.4523	-9.7095	0
-7.1600	-10.6904	0
-7.8607	-13.9641	0
-9.4753	-12.9085	0
-7.6074	-10.8261	0
-9.4183	-10.7044	0
-8.7391	-8.5088	0
-11.3001	-9.8764	0
-8.3863	-11.6458	0
-10.6932	-10.5941	0
-7.0259	-14.0923	0
-11.1044	-10.2083	0
-9.4419	-10.3671	0
-9.7627	-9.1209	0
-8.6100	-11.1080	0
-6.2456	-14.5643	0
-8.9160	-9.3876	0
-8.7517	-13.4568	0
-8.4222	-14.6345	0
-5.7513	-12.0719	0
-9.0295	-7.1168	0
-7.9565	-9.6653	0
-6.3169	-11.4744	0
-5.8773	-14.1029	0
-9.0077	-11.6146	0
-5.7256	-14.2361	0
-8.5828	-10.0972	0
-6.6629	-11.0734	0
-5.8765	-11.7972	0
-8.9373	-11.9354	0
-4.3177	-12.9832	0
-7.7571	-15.0326	0
-6.1309	-11.5654	0
-6.7509	-13.5760	0
-9.2456	-14.4794	0
-9.4882	-12.1551	0
-5.8391	-14.9987	0
12.0598	-22.6849	1
9.1084	-25.5846	1
9.8451	-25.3341	1
11.1964	-22.8041	1
11.5911	-22.3309	1
12.2037	-24.2189	1
8.7871	-23.6626	1
8.6660	-24.1701	1
9.2122	-21.4295	1
14.5743	-27.0634	1
12.1907	-22.7709	1
9.6108	-24.4937	1
14.0073	-23.3025	1
8.2158	-26.5782	1
10.6693	-22.7322	1
14.7756	-26.7105	1
7.5397	-24.3758	1
13.3369	-23.8920	1
9.4990	-22.5850	1
10.3520	-25.2919	1
8.2496	-25.0119	1
14.2921	-26.6809	1
14.0128	-23.8212	1
12.2320	-20.8933	1
14.7347	-26.6083	1
9.3482	-22.9208	1
10.5609	-25.5669	1
11.8056	-23.0309	1
11.3653	-22.9806	1
11.7181	-22.2517	1
10.1801	-23.0990	1
12.0407	-22.0248	1
7.8704	-24.1883	1
8.0700	-24.1237	1
9.1999	-26.8102	1
10.5826	-25.9450	1
12.1954	-23.1603	1
10.9417	-21.4212	1
7.7567	-24.1237	1
10.9067	-24.2697	1
14.2531	-26.7017	1
10.6238	-22.6948	1
14.0820	-27.0328	1
10.6004	-24.9031	1
13.9554	-24.3960	1
11.9494	-20.9758	1
12.0528	-24.5321	1
9.8725	-24.8081	1
9.5344	-23.9677	1
14.4485	-24.3299	1
-25.4828	15.1153	2
-25.9731	15.0597	2
-26.4150	15.9024	2
-26.2406	15.2835	2
-26.5011	12.9444	2
-26.2934	16.7212	2
-25.3655	17.1146	2
-22.1756	15.2995	2
-24.8838	13.6199	2
-25.3291	13.4271	2
-27.0118	13.5983	2
-24.4827	17.3589	2
-22.3511	13.2602	2
-22.1700	11.9268	2
-27.9966	13.0822	2
-26.4051	13.8214	2
-25.3951	13.5281	2
-24.7301	17.1207	2
-22.9093	12.7211	2
-24.0630	12.7303	2
-27.7965	13.9727	2
-22.1385	14.7461	2
-25.6663	15.1908	2
-29.2809	15.1622	2
-25.7739	12.9117	2
-27.0826	13.5740	2
-26.3910	15.5104	2
-22.7901	13.6984	2
-25.9387	11.7588	2
-24.6393	17.8620	2
-22.8623	12.3494	2
-25.2909	14.5432	2
-23.9313	17.0624	2
-25.3292	14.1515	2
-25.5585	15.6628	2
-25.9081	16.0091	2
-26.5541	16.5898	2
-24.1886	14.5385	2
-24.9940	14.6547	2
-21.9646	14.4451	2
-21.7913	15.0458	2
-26.7262	17.0814	2
-28.0399	11.6069	2
-27.0304	17.0500	2
-25.1361	17.3524	2
-25.7707	16.4677	2
-26.6114	14.9564	2
-22.5670	15.3544	2
-27.7387	11.4590	2
-25.1179	19.3500	2
-6.5892	-29.5295	3
-5.5060	-30.0043	3
-7.1480	-31.1447	3
-8.5819	-25.4001	3
-8.8318	-27.9197	3
-5.9383	-29.0153	3
-9.2215	-29.1083	3
-7.9241	-31.4392	3
-10.1731	-32.2179	3
-9.5720	-32.1312	3
-8.3604	-25.6940	3
-8.2906	-30.0737	3
-6.5232	-32.1334	3
-2.1179	-30.4916	3
-9.2463	-31.1881	3
-8.7853	-25.8701	3
-6.9376	-28.7463	3
-11.4789	-29.1904	3
