x	y	classId
-0.2921	-9.8350	0
-23.3286	-8.0581	0
-5.3212	10.6833	0
-26.5738	-8.0471	0
-30.8794	-7.9550	0
-34.5238	-10.3273	0
-34.4853	-10.6347	0
-32.4743	-8.3734	0
-2.8931	11.5419	0
-18.1289	-13.4260	0
-32.3047	-8.9919	0
-16.8778	-2.6324	0
-34.0833	-4.3657	0
-14.7218	-11.4880	0
-31.1987	-5.9499	0
-35.0108	-9.9388	0
-34.8005	-5.7050	0
-17.9749	-13.5193	0
-22.7021	-7.3734	0
-16.5514	-14.6736	0
-20.3854	-6.9849	0
-14.6685	-9.5765	0
-34.2715	-3.7696	0
-31.8144	-5.9247	0
-14.8652	-10.6614	0
-13.9428	-10.1159	0
-11.6330	-12.4065	0
-33.7869	-5.0813	0
-27.8406	10.2298	0
-16.7106	-14.0597	0
-30.8026	-7.1830	0
-18.9809	3.2227	0
-28.1427	-7.2394	0
-12.3243	-11.4705	0
-16.9266	-14.2775	0
-5.1336	9.0869	0
-27.6842	11.9944	0
-34.6336	-6.0920	0
-29.8100	13.4432	0
-27.7029	-7.7188	0
-26.6934	-7.4622	0
-3.5216	11.2150	0
-30.8258	-8.5797	0
-2.6294	9.9923	0
-19.0749	3.2818	0
-27.4811	-7.6000	0
-31.7198	-6.2533	0
-33.0858	-9.5622	0
-20.1831	3.4556	0
-30.1628	19.4376	0
-2.5874	-23.2791	1
-6.6201	-26.4130	1
-6.9721	-25.0861	1
-2.1619	-24.8669	1
-13.3750	-21.2927	1
-3.4074	-23.8110	1
-13.4539	-20.8934	1
-6.3647	-24.4890	1
-6.8071	-8.7930	1
-17.8597	-7.7748	1
-3.6749	-22.4787	1
-7.2458	-26.5088	1
2.0608	0.1084	1
-12.1689	-25.3818	1
-4.7949	-23.2566	1
-17.1204	-8.6525	1
-8.0736	-19.7382	1
3.5628	-1.4762	1
-7.0677	-24.6330	1
-8.1949	-26.7150	1
-9.1164	-24.6667	1
-18.5813	-9.2658	1
7.1196	1.2754	1
-14.1671	-19.0545	1
