x	y	classId
1.3258	-3.1686	0
-13.2380	-2.8358	0
-17.1668	21.3706	0
-22.3528	7.1767	0
-26.0406	10.1701	0
-24.8168	14.1562	0
-25.1511	14.3050	0
-24.9848	11.3437	0
-17.6128	20.9236	0
-20.2881	7.5735	0
-25.3713	11.6289	0
-21.2373	1.8408	0
-29.2304	8.6508	0
-10.7628	1.8039	0
-26.1277	8.6645	0
-24.1116	14.6236	0
-29.4663	9.6546	0
-20.1646	7.4203	0
-15.0323	-5.2365	0
-18.6845	6.8491	0
-14.0380	-4.3731	0
-12.5521	0.1226	0
-29.8220	8.1944	0
-26.7937	8.5399	0
-12.4469	1.2315	0
-13.2253	2.0413	0
-11.6237	2.0809	0
-29.0020	8.3588	0
-29.5168	-23.7189	0
-19.0628	6.4459	0
-25.7684	9.7885	0
-21.5845	14.7729	0
-23.7519	8.0884	0
-10.9361	1.3912	0
-19.1404	6.8156	0
-16.7629	21.7528	0
-29.5136	-23.6769	0
-29.1938	9.9063	0
-28.1033	-26.3001	0
-23.0347	8.0445	0
-22.8994	6.9932	0
-17.7127	20.8194	0
-25.7149	9.5722	0
-18.5375	20.2482	0
-21.5114	17.1503	0
-23.1367	7.7370	0
-26.6734	8.8979	0
-25.1104	12.9469	0
-23.6047	14.1481	0
-28.0959	-26.3226	0
2.7209	13.8828	1
0.0767	18.3014	1
-0.7591	17.2045	1
2.0856	14.5192	1
-10.4665	6.5163	1
3.6702	14.5644	1
-10.5774	7.7269	1
-0.6059	16.5032	1
-3.9288	3.2839	1
-16.5409	1.4631	1
1.1303	13.9322	1
-0.5886	18.6104	1
8.9147	-3.0153	1
-5.3437	18.6552	1
0.1511	15.7163	1
-15.1884	1.2045	1
-1.5210	13.4904	1
9.9543	-3.2076	1
-1.1318	16.8144	1
-1.1443	19.1203	1
-2.6989	17.1386	1
-16.5255	1.5439	1
-8.7130	3.1849	1
-13.0062	6.4573	1
-15.0938	1.2766	1
-1.4654	13.5496	1
-3.4358	18.1709	1
3.5420	13.2693	1
2.4806	15.4403	1
3.0853	13.2093	1
2.0715	17.0214	1
2.3253	13.0801	1
-2.0778	19.6477	1
-2.9284	11.0283	1
-4.9493	18.5750	1
-2.5286	17.5631	1
2.7044	14.5751	1
-11.0510	8.0482	1
-3.2721	10.2002	1
-2.4055	18.2898	1
-15.7786	1.9340	1
-0.4405	14.3932	1
-17.3801	1.9059	1
-1.1130	17.5379	1
10.4371	-4.0272	1
-12.2269	6.4562	1
1.4494	15.7763	1
3.3889	15.5046	1
-9.4633	8.1975	1
-8.3616	4.1075	1
-21.8800	26.3838	2
-21.6285	27.0115	2
-25.9188	22.6458	2
-21.2938	22.2489	2
-24.8286	26.4752	2
-24.3933	20.3140	2
-20.8632	28.5714	2
-27.0330	18.6826	2
-26.9586	23.4202	2
-25.5051	25.3371	2
-24.5412	24.1039	2
-27.0107	20.5008	2
-25.6789	18.9682	2
-25.7146	6.5965	2
-25.3441	23.4326	2
-25.8574	23.4891	2
-25.8697	18.6166	2
-22.0471	29.6250	2
-23.0407	11.7570	2
-26.2369	18.4270	2
-27.9808	24.4432	2
-28.6839	21.3304	2
-23.3678	29.0989	2
0.4407	4.5987	2
-25.9841	24.9644	2
-26.4404	24.1324	2
-23.6116	27.9266	2
-21.7602	28.0662	2
-21.4197	20.8736	2
-21.1992	23.0070	2
-26.0506	5.6695	2
-19.7507	26.9318	2
-20.1854	25.2398	2
-23.3269	26.2341	2
-21.4891	29.2346	2
-22.7847	27.7255	2
-24.1839	19.7923	2
-23.8594	27.0208	2
-22.6423	25.1765	2
-28.5142	22.1337	2
-28.1630	21.5717	2
-21.6625	28.6759	2
-21.2436	20.3134	2
-18.8424	25.2973	2
-22.7475	28.5169	2
-22.7447	25.0647	2
-23.9770	25.6830	2
-27.3282	20.8801	2
-21.5331	20.2898	2
-19.6781	26.2096	2
-26.1825	2.8806	3
-26.1080	-0.8194	3
-24.7946	-1.9902	3
-28.9396	15.1557	3
-30.4728	-4.7790	3
-29.4210	3.3925	3
-27.4688	-4.7260	3
-30.5615	-0.8508	3
1.8267	-5.3092	3
3.8202	-6.8777	3
-29.4380	16.4891	3
-29.2766	-1.6160	3
-25.7161	-0.3329	3
3.2765	-0.9724	3
-31.3251	-5.3603	3
-29.0051	16.3519	3
-25.0652	1.1484	3
-27.3656	-4.0396	3
-29.8979	-2.7552	3
-26.7309	-3.5814	3
-29.2087	12.1002	3
-27.4980	12.2151	3
-29.2659	-1.7954	3
2.0993	-6.9665	3
2.5689	-7.8657	3
-27.7181	1.9907	3
-29.8392	15.3159	3
-28.4718	12.9664	3
-27.7595	11.9527	3
3.6168	-7.4400	3
-28.1541	13.6040	3
-29.0829	-0.8332	3
-22.0733	3.3458	3
2.7422	-0.5863	3
5.6376	-6.1442	3
-31.4792	-5.2742	3
-29.4606	3.3157	3
-25.3210	0.3916	3
-23.3866	2.9113	3
-30.9312	-3.8846	3
-31.3700	-0.8347	3
-29.7242	-1.3052	3
-27.6401	2.1978	3
-26.2414	-2.1076	3
-27.6492	-0.8389	3
2.9041	-0.6346	3
-25.2122	1.2401	3
-29.8659	14.8848	3
-27.8875	-0.9091	3
-28.8112	-1.3737	3
-10.2662	-5.9688	4
